date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 20cm 지중온도(°C),1.5cm 지중온도(°C),9-9강수(mm),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,-0.13571428571428573,4.589285714285714,5.327272727272726,17144.0,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,5.545161290322581,5.941935483870967,3.4714285714285715,9114.0,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,10.473333333333333,9.126666666666667,3.983333333333333,5900.0,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,18.467741935483872,13.548387096774194,11.0,10831.0,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,25.4,18.506666666666664,2.83,9647.0,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,25.68064516129032,22.741935483870968,29.4,19650.0,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,27.97741935483871,24.696774193548393,8.255555555555555,50528.0,2.0,0,0,0,1,0,0,0,1
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,23.45666666666667,24.19666666666668,11.541666666666664,16189.0,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,17.306666666666665,21.574193548387093,1.6875,9290.0,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,8.346666666666666,17.023333333333333,3.12,7266.0,3.0,0,1,0,0,0,1,0,0
201312,12,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,2.454838709677419,11.570967741935485,2.0583333333333336,11886.0,4.0,1,0,0,0,1,0,0,0
201401,1,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,0.054838709677419335,7.8677419354838705,1.181818181818182,15714.0,4.0,1,0,0,0,1,0,0,0
201402,2,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.9678571428571427,6.4071428571428575,2.7,16869.0,4.0,1,0,0,0,1,0,0,0
201403,3,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,7.845161290322581,7.9419354838709655,0.6,12978.0,1.0,0,1,0,0,0,1,0,0
201404,4,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,14.836666666666664,11.78,3.875,8557.0,1.0,0,1,0,0,0,1,0,0
201405,5,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,20.00322580645161,15.712903225806453,9.0,9517.0,1.0,0,0,1,0,0,0,1,0
201406,6,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,23.980000000000004,19.873333333333328,7.546153846153848,12478.0,2.0,0,0,0,1,0,0,0,1
201407,7,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,26.84193548387097,22.67142857142857,15.992307692307696,19529.0,2.0,0,0,0,1,0,0,0,1
201408,8,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,25.835483870967746,23.845161290322572,8.639999999999999,30440.0,2.0,0,0,0,1,0,0,0,1
201409,9,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,23.94333333333334,23.55666666666668,8.809999999999997,7278.0,3.0,0,0,1,0,0,0,1,0
201410,10,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,17.261290322580646,21.061290322580646,5.8000000000000025,8912.0,3.0,0,0,1,0,0,0,1,0
201411,11,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,10.026666666666666,16.5,3.7818181818181817,6000.0,3.0,0,1,0,0,0,1,0,0
201412,12,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.0516129032258068,10.951612903225802,1.3692307692307693,7478.0,4.0,1,0,0,0,1,0,0,0
201501,1,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,-0.11612903225806452,7.0580645161290345,2.26,10756.0,4.0,1,0,0,0,1,0,0,0
201502,2,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1.248148148148148,5.789285714285714,2.5222222222222217,8984.0,4.0,1,0,0,0,1,0,0,0
201503,3,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,6.448387096774192,7.1999999999999975,2.0166666666666666,4434.0,1.0,0,1,0,0,0,1,0,0
201504,4,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,13.16,10.993333333333334,6.0,3718.0,1.0,0,1,0,0,0,1,0,0
201505,5,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,20.33870967741936,15.351612903225806,3.6125,8071.0,1.0,0,0,1,0,0,0,1,0
201506,6,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,24.550000000000004,19.51333333333333,8.291666666666666,3603.0,2.0,0,0,0,1,0,0,0,1
201507,7,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,26.28275862068965,22.266666666666666,13.264705882352946,9384.0,2.0,0,0,0,1,0,0,0,1
201508,8,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,26.55806451612904,23.58064516129032,4.050000000000002,19516.0,2.0,0,0,0,1,0,0,0,1
201509,9,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,23.95,23.19333333333332,3.7857142857142856,4346.0,3.0,0,0,0,1,0,0,1,0
201510,10,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,17.580645161290324,21.12903225806452,11.571428571428573,7623.0,3.0,0,0,1,0,0,0,1,0
201511,11,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,11.066666666666665,17.043333333333333,6.9,5535.0,3.0,0,1,0,0,0,1,0,0
201512,12,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,4.254838709677419,12.206451612903225,1.94,8822.0,4.0,1,0,0,0,1,0,0,0
