date,month,평균 기온(°C),최다 풍향(16방위),일강수량(mm),합계 일조 시간(hr),9-9강수(mm),평균 전운량(10분위),합계 소형증발량(mm),최저 해면기압 시각(hhmi),최저 기온 시각(hhmi),열지수,평균 10cm 지중온도(°C),평균 상대습도(%),최대 순간풍속 시각(hhmi),최소 상대습도(%),풍정합(100m),최고 기온 시각(hhmi),평균 20cm 지중온도(°C),합계 일사량(MJ/m2),target,season,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201310,10,15.777419354838708,128.06451612903226,2.7,8.061290322580643,1.6875,2.854838709677419,3.1,1318.8709677419354,896.2258064516127,54,16.538709677419355,58.36451612903224,1215.8709677419354,36.19354838709677,2137.0967741935488,1301.0645161290322,17.306666666666665,12.025483870967742,385056,3.0,0,0,1,0
201311,11,6.149999999999998,180.66666666666663,2.7529411764705887,6.266666666666668,3.12,3.913333333333333,2.0,1178.6,1008.1333333333333,33,7.1800000000000015,58.18666666666668,1291.5666666666666,37.1,2368.7,1246.5333333333333,8.346666666666666,7.798000000000001,211840,3.0,0,1,0,0
201312,12,-0.18387096774193573,180.64516129032262,1.9,5.9483870967741925,2.0583333333333336,3.983870967741935,1.3483870967741935,1006.741935483871,1166.1290322580646,17,1.6354838709677422,60.15161290322581,1346.9032258064515,39.67741935483871,2064.2580645161293,1306.0967741935485,2.454838709677419,6.5296774193548375,145544,4.0,1,0,0,0
201401,1,-0.6774193548387096,200.0,1.181818181818182,5.948387096774192,1.181818181818182,3.3870967741935485,1.4806451612903222,1315.7096774193546,1038.741935483871,15,-0.5645161290322582,50.07741935483869,1436.6129032258066,29.48387096774193,2095.0967741935488,1361.0967741935485,0.054838709677419335,7.2680645161290345,169707,4.0,1,0,0,0
201402,2,1.9285714285714288,161.53846153846158,2.3142857142857136,5.8535714285714295,2.7,4.000000000000001,1.9464285714285712,1236.142857142857,900.5714285714287,22,1.6250000000000002,51.98214285714285,1402.2142857142858,32.75,2330.142857142857,1462.6785714285709,1.9678571428571427,9.585714285714287,154435,4.0,1,0,0,0
201403,3,7.890322580645161,229.67741935483872,0.5538461538461539,6.925806451612903,0.6,3.93225806451613,3.0741935483870964,1200.741935483871,950.5806451612905,37,7.945161290322582,59.83548387096774,1416.2580645161293,33.03225806451613,2618.322580645161,1431.0645161290322,7.845161290322581,12.646774193548383,223788,1.0,0,1,0,0
201404,4,13.963333333333335,197.33333333333331,4.428571428571429,7.106666666666667,3.875,4.746666666666667,3.31,1459.333333333333,719.0,50,15.183333333333335,59.87333333333333,1519.833333333333,36.03333333333333,2435.333333333333,1443.5666666666666,14.836666666666664,15.166666666666664,360411,1.0,0,1,0,0
201405,5,18.945161290322574,234.83870967741936,7.0,9.806451612903226,9.0,3.170967741935484,4.693548387096773,1036.3225806451612,926.032258064516,60,20.56451612903226,59.058064516129036,1462.161290322581,32.83870967741935,2774.483870967741,1452.7096774193549,20.00322580645161,20.25225806451613,457248,1.0,0,0,1,0
201406,6,23.06333333333333,187.33333333333331,7.007142857142857,6.163333333333332,7.546153846153848,6.6766666666666685,3.746666666666667,1506.3,706.3666666666667,66,24.396666666666665,72.80666666666666,1449.9333333333334,49.06666666666667,2254.0666666666666,1397.7,23.980000000000004,15.513666666666666,270469,2.0,0,0,0,1
201407,7,26.1483870967742,204.83870967741936,17.325,5.570967741935487,15.992307692307696,6.835483870967742,3.693548387096774,1302.6774193548388,789.6774193548387,71,27.28709677419355,74.23548387096773,1495.6129032258066,50.58064516129032,2382.1612903225805,1459.2580645161293,26.84193548387097,14.800999999999998,274596,2.0,0,0,0,1
201408,8,25.164516129032265,117.41935483870968,8.639999999999999,4.861290322580646,8.639999999999999,7.1322580645161295,2.7935483870967746,1163.9032258064515,896.2258064516127,69,25.816129032258054,77.19354838709677,1420.774193548387,57.225806451612904,2116.483870967742,1308.3548387096773,25.835483870967746,11.386451612903226,405225,2.0,0,0,0,1
201409,9,22.063333333333336,130.33333333333334,9.788888888888888,7.1433333333333335,8.809999999999997,4.9300000000000015,2.9733333333333323,1340.3333333333333,832.0333333333333,65,23.72666666666667,68.5,1426.3,44.9,1792.5666666666666,1418.3666666666666,23.94333333333334,12.951999999999995,393644,3.0,0,0,1,0
201410,10,15.635483870967743,106.77419354838707,8.700000000000001,7.735483870967742,5.8000000000000025,3.3193548387096774,2.580645161290323,1296.451612903226,946.1935483870967,54,16.50967741935484,63.15806451612902,1384.3225806451612,38.709677419354854,2102.548387096774,1330.258064516129,17.261290322580646,11.68741935483871,468796,3.0,0,0,1,0
201411,11,8.953333333333337,155.66666666666666,4.15,6.47,3.7818181818181817,4.3,1.4599999999999995,1180.8333333333333,935.0333333333333,40,9.13,60.93333333333334,1341.4333333333334,40.1,2131.433333333333,1324.7333333333333,10.026666666666666,8.342,288936,3.0,0,1,0,0
201412,12,-2.919354838709677,204.5161290322581,1.11875,6.309677419354838,1.3692307692307693,3.4451612903225803,1.1225806451612903,1188.6451612903227,1050.0645161290322,9,-0.28709677419354834,56.261290322580614,1279.1290322580646,36.709677419354854,2461.2258064516127,1287.451612903226,1.0516129032258068,7.409032258064518,190501,4.0,1,0,0,0
201501,1,-0.9354838709677418,196.1290322580645,1.4125,6.235483870967737,2.26,3.8516129032258064,1.0903225806451613,1108.258064516129,1002.3548387096774,15,-0.6935483870967744,56.364516129032275,1333.6451612903227,37.61290322580645,2287.7096774193546,1355.258064516129,-0.11612903225806452,7.904838709677419,196594,4.0,1,0,0,0
201502,2,1.0428571428571425,201.07142857142856,2.8375,6.428571428571429,2.5222222222222217,4.45,1.5428571428571427,1278.0,1006.2142857142856,20,0.8928571428571427,58.94285714285714,1376.4642857142858,34.92857142857143,2477.392857142857,1186.8214285714287,1.248148148148148,9.537142857142856,264154,4.0,1,0,0,0
201503,3,6.290322580645161,232.25806451612902,1.6,8.735483870967744,2.0166666666666666,2.7870967741935484,2.8193548387096787,1400.483870967742,871.9677419354839,33,6.380645161290321,45.1741935483871,1475.6129032258066,22.35483870967742,2663.967741935484,1404.6774193548388,6.448387096774192,14.794193548387096,272022,1.0,0,1,0,0
201504,4,13.326666666666664,149.33333333333334,5.03125,7.1999999999999975,6.0,4.9700000000000015,3.4933333333333327,1243.8333333333333,932.9333333333333,49,13.359999999999998,54.38666666666665,1303.7,32.23333333333333,2695.6666666666665,1249.1666666666667,13.16,14.994666666666665,406906,1.0,0,1,0,0
201505,5,18.883870967741935,231.29032258064515,4.128571428571428,9.367741935483872,3.6125,4.135483870967741,4.8161290322580665,1417.2903225806451,689.9354838709677,60,20.916129032258066,52.78064516129031,1365.3548387096773,30.35483870967742,2544.7419354838707,1460.0967741935485,20.33870967741936,19.450000000000006,485936,1.0,0,0,1,0
201506,6,23.586666666666666,204.0,8.25,8.603333333333332,8.291666666666666,5.593333333333333,4.800000000000002,1278.3666666666666,794.2333333333332,68,25.06333333333333,59.80999999999998,1489.1333333333334,35.4,2203.933333333333,1356.9,24.550000000000004,18.283448275862067,155024,2.0,0,0,0,1
