date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중하층운량(10분위),최대 풍속(m/s),최고 해면 기압(hPa),평균 30cm 지중온도(°C),최저 해면기압(hPa),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,2.0580645161290323,5.793548387096774,1013.032258064516,21.71290322580645,1008.8290322580646,22.825806451612905,7436,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,3.08,5.836666666666668,1009.3133333333333,27.04333333333333,1004.8099999999997,28.45000000000001,6406,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,5.6,5.429032258064513,1007.683870967742,26.15806451612903,1003.5774193548384,26.65483870967741,2111,2.0,0,0,0,1,0,0,0,1
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,4.774193548387096,6.054838709677418,1010.432258064516,27.903225806451612,1005.7612903225804,28.209677419354843,1593,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,4.000000000000001,5.003333333333333,1015.81,22.586666666666666,1010.9866666666666,21.806666666666665,3848,3.0,0,0,1,0,0,0,1,0
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,2.229032258064516,4.935483870967742,1020.6064516129032,17.335483870967742,1015.6935483870967,15.364516129032257,7365,3.0,0,0,1,0,0,0,1,0
201211,11,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,3.0699999999999994,5.503333333333333,1022.6133333333332,8.423333333333332,1015.9833333333332,5.416666666666668,2561,3.0,0,1,0,0,0,1,0,0
201212,12,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,2.2,5.5580645161290345,1027.9451612903226,1.883870967741936,1021.4129032258064,-1.4677419354838712,860,4.0,1,0,0,0,1,0,0,0
201301,1,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,2.8129032258064512,5.190322580645162,1028.9290322580646,-0.025806451612903226,1023.9129032258064,-1.9645161290322581,813,4.0,1,0,0,0,1,0,0,0
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,2.8142857142857136,5.703571428571428,1028.5928571428572,0.08214285714285717,1021.9857142857144,-0.03928571428571431,1178,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,2.061290322580645,6.1,1021.6806451612904,5.516129032258063,1014.0322580645164,5.987096774193548,3030,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,3.373333333333333,6.920000000000003,1016.39,10.313333333333333,1009.81,11.123333333333335,3146,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,2.941935483870968,5.861290322580645,1014.0677419354836,17.90645161290322,1009.1064516129032,19.883870967741935,5967,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,3.339999999999999,4.9300000000000015,1009.5766666666664,24.55,1005.6433333333333,27.03666666666668,4424,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,6.477419354838709,6.790322580645161,1007.074193548387,25.419354838709673,1003.316129032258,26.393548387096786,1602,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,5.112903225806452,5.564516129032258,1008.267741935484,27.74516129032257,1004.6806451612904,28.69677419354839,2843,2.0,0,0,0,1,0,0,0,1
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,3.25,4.616666666666666,1016.8166666666667,23.86333333333333,1013.0966666666667,23.22000000000001,3916,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,1.806451612903225,4.8096774193548395,1022.4387096774194,18.345161290322565,1017.958064516129,16.238709677419354,7139,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.7299999999999995,5.683333333333334,1023.18,10.05,1016.83,6.683333333333333,3289,3.0,0,1,0,0,0,1,0,0
201312,12,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,3.1741935483870964,5.22258064516129,1024.6967741935487,3.961290322580645,1019.583870967742,1.1612903225806444,1248,4.0,1,0,0,0,1,0,0,0
201401,1,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,2.6225806451612903,4.941935483870967,1028.1806451612906,1.2129032258064514,1022.4935483870967,-0.6677419354838707,1401,4.0,1,0,0,0,1,0,0,0
201402,2,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1.8928571428571423,5.1714285714285735,1027.55,2.4222222222222225,1022.8285714285716,1.7821428571428568,1460,4.0,1,0,0,0,1,0,0,0
201403,3,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,2.419354838709677,6.441935483870967,1022.9032258064516,7.596428571428567,1016.8064516129036,8.225806451612902,3252,1.0,0,1,0,0,0,1,0,0
201404,4,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,2.493333333333333,6.113333333333332,1019.2233333333332,14.111538461538462,1014.7466666666664,15.77,5129,1.0,0,1,0,0,0,1,0,0
201405,5,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1.5645161290322582,6.793548387096774,1013.5064516129033,18.98181818181818,1007.6451612903224,21.580645161290327,6544,1.0,0,0,1,0,0,0,1,0
201406,6,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,4.483333333333333,5.553333333333336,1007.8166666666667,23.041379310344826,1004.4266666666666,25.196666666666665,5537,2.0,0,0,0,1,0,0,0,1
201407,7,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,5.0774193548387085,5.587096774193548,1008.974193548387,25.30322580645161,1004.7290322580644,28.083870967741948,1510,2.0,0,0,0,1,0,0,0,1
201408,8,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,4.606451612903225,4.903225806451613,1009.9322580645164,24.65483870967741,1006.1483870967744,26.20967741935484,1889,2.0,0,0,0,1,0,0,0,1
201409,9,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,2.89,4.5,1015.1666666666672,23.05333333333333,1011.2066666666666,23.750000000000004,4583,3.0,0,0,1,0,0,0,1,0
201410,10,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,2.3838709677419363,5.038709677419355,1022.2290322580644,17.354838709677427,1017.3580645161293,16.02258064516129,7077,3.0,0,0,1,0,0,0,1,0
201411,11,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,2.8833333333333333,5.1433333333333335,1024.35,10.533333333333337,1019.1466666666664,8.596666666666668,3662,3.0,0,1,0,0,0,1,0,0
201412,12,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.7479999999999998,5.741935483870969,1027.903225806452,2.154838709677419,1021.2451612903227,-1.058064516129032,1036,4.0,1,0,0,0,1,0,0,0
201501,1,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1.872,5.196774193548388,1027.6645161290323,0.30322580645161296,1021.5290322580644,-0.7709677419354839,1362,4.0,1,0,0,0,1,0,0,0
201502,2,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,2.0380952380952384,5.653571428571429,1025.225,1.3214285714285714,1019.407142857143,1.0607142857142855,1706,4.0,1,0,0,0,1,0,0,0
201503,3,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,0.9620689655172412,6.370967741935482,1024.2516129032256,5.929032258064518,1018.483870967742,6.493548387096777,3014,1.0,0,1,0,0,0,1,0,0
201504,4,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,2.783333333333333,6.523333333333335,1018.9766666666666,12.190000000000005,1012.8233333333336,14.029999999999998,4782,1.0,0,1,0,0,0,1,0,0
201505,5,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,1.9774193548387096,6.170967741935482,1011.7741935483873,18.861290322580643,1006.9677419354836,22.0,7557,1.0,0,0,1,0,0,0,1,0
201506,6,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,3.1066666666666665,5.8,1009.2933333333333,23.246666666666666,1004.45,26.126666666666665,3344,2.0,0,0,0,1,0,0,0,1
201507,7,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,4.635483870967741,5.567741935483871,1008.6741935483873,25.12068965517241,1004.4290322580645,27.32758620689655,2991,2.0,0,0,0,1,0,0,0,1
201508,8,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,3.629032258064516,5.348387096774194,1009.9290322580645,25.638709677419357,1006.5580645161293,26.99032258064516,3439,2.0,0,0,0,1,0,0,0,1
201509,9,28.07666666666666,34.4,22.389999999999993,56.20666666666666,5.2,2.3033333333333332,8.736666666666666,2.233333333333333,4.806666666666667,1016.14,23.27333333333333,1011.76,23.75333333333333,4606,3.0,0,0,0,1,0,0,1,0
201510,10,21.21935483870968,33.32258064516129,15.506451612903225,60.35806451612903,11.642857142857142,2.3129032258064512,7.7322580645161265,1.8129032258064512,5.280645161290322,1021.1741935483876,17.629032258064516,1015.790322580645,16.0,5111,3.0,0,0,1,0,0,0,1,0
201511,11,12.739999999999998,53.8,8.900000000000002,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,4.3566666666666665,5.036666666666667,1026.1066666666666,11.403333333333334,1020.9033333333334,9.44,2927,3.0,0,1,0,0,0,1,0,0
201512,12,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,2.7451612903225806,4.680645161290324,1028.6935483870966,4.82258064516129,1022.783870967742,2.161290322580645,1647,4.0,1,0,0,0,1,0,0,0
201601,1,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,2.6161290322580637,4.916129032258065,1027.9387096774194,1.270967741935484,1023.2225806451613,-1.4645161290322581,1296,4.0,1,0,0,0,1,0,0,0
201602,2,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,2.258620689655172,5.613793103448275,1027.3275862068963,1.2862068965517244,1020.996551724138,0.6689655172413794,1518,4.0,1,0,0,0,1,0,0,0
201603,3,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,1.9096774193548385,5.10967741935484,1023.8258064516133,6.8741935483870975,1019.2,7.7,2894,1.0,0,1,0,0,0,1,0,0
