date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 시각(hhmi),최저 해면기압 시각(hhmi),최대 순간풍속 풍향(16방위),풍정합(100m),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201501,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1333.6451612903227,1108.258064516129,220.64516129032262,2287.7096774193546,24256,1,0,0,0,1,0,0,0
201502,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1376.4642857142858,1278.0,232.5,2477.392857142857,51984,1,0,0,0,1,0,0,0
201512,5.996774193548387,38.74193548387097,1.5935483870967744,59.864516129032246,2.645454545454545,2.3451612903225807,5.73548387096774,1223.225806451613,1232.9354838709678,162.25806451612902,2025.774193548387,27172,1,0,0,0,1,0,0,0
201601,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,1483.8709677419354,1252.3870967741937,251.29032258064515,2138.3548387096776,22043,1,0,0,0,1,0,0,0
201602,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1355.4137931034486,1196.6206896551723,275.5172413793104,2374.2068965517237,31323,1,0,0,0,1,0,0,0
201612,5.8,40.096774193548384,1.2451612903225806,59.15806451612904,4.364285714285715,2.225806451612903,5.367741935483871,1241.3870967741937,1100.1290322580646,182.25806451612902,1924.967741935484,20397,1,0,0,0,1,0,0,0
201701,2.916129032258064,35.064516129032256,-1.829032258064516,54.60645161290322,1.1461538461538459,2.3,6.741935483870968,1322.6774193548388,1188.8064516129034,233.54838709677415,1985.3225806451608,24650,1,0,0,0,1,0,0,0
201702,4.80357142857143,30.285714285714285,-0.2464285714285713,53.664285714285704,1.85,2.4464285714285707,7.5,1419.9642857142858,1241.6785714285713,249.64285714285717,2117.428571428572,22077,1,0,0,0,1,0,0,0
201712,2.1580645161290324,33.16129032258065,-1.9290322580645158,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,1339.6333333333334,1316.9354838709678,258.6666666666667,1537.7586206896551,25287,1,0,0,0,1,0,0,0
201801,0.1419354838709677,28.935483870967737,-3.977419354838709,48.03225806451611,0.7727272727272727,1.870967741935484,6.43793103448276,1260.0645161290322,1184.2903225806454,262.258064516129,1618.3870967741934,18188,1,0,0,0,1,0,0,0
201802,3.2821428571428566,24.392857142857146,-1.6464285714285718,44.9142857142857,4.933333333333334,2.1785714285714284,7.192592592592592,1476.7142857142858,1491.9285714285709,265.7142857142857,1879.2142857142856,45001,1,0,0,0,1,0,0,0
201812,4.087096774193548,26.48387096774193,-0.6064516129032259,45.75806451612904,2.733333333333334,1.803225806451613,6.4483870967741925,1248.7096774193546,1186.9032258064515,261.2903225806452,1561.1290322580646,20647,1,0,0,0,1,0,0,0
201901,4.087096774193548,25.70967741935484,-0.8967741935483872,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,1296.9032258064515,1480.1290322580646,276.1290322580645,1572.3870967741934,32591,1,0,0,0,1,0,0,0
201902,6.046428571428572,26.0,0.9857142857142857,47.31071428571428,2.644444444444444,1.8428571428571427,6.803571428571429,1387.25,1292.0357142857142,250.0,1600.9642857142858,68948,1,0,0,0,1,0,0,0
201912,5.274193548387096,37.12903225806452,1.4161290322580642,57.75483870967742,1.1894736842105265,2.1258064516129034,5.296774193548388,1210.7096774193546,1176.258064516129,231.9354838709677,1840.1935483870968,24830,1,0,0,0,1,0,0,0
