date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 중기압(hPa),최다 풍향(16방위),최저 해면기압(hPa),최대 순간풍속 풍향(16방위),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201606,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,17.916666666666668,214.66666666666663,1005.5066666666668,243.66666666666663,233800,0,0,0,1,0,0,0,1
201607,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,24.425806451612893,187.41935483870967,1005.4967741935484,181.9354838709677,283826,0,0,0,1,0,0,0,1
201608,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,24.02258064516129,175.4838709677419,1003.7709677419356,263.54838709677415,426347,0,0,0,1,0,0,0,1
201706,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,15.666666666666664,220.33333333333331,1006.0933333333336,247.33333333333331,209942,0,0,0,1,0,0,0,1
201707,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,26.899999999999995,191.9354838709677,1005.4483870967745,191.9354838709677,287348,0,0,0,1,0,0,0,1
201708,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,23.65806451612904,129.67741935483872,1005.3870967741935,159.3548387096774,417934,0,0,0,1,0,0,0,1
201806,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,17.30333333333333,226.33333333333331,1005.4633333333336,245.33333333333331,202170,0,0,0,1,0,0,0,1
201807,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,24.612903225806452,199.03225806451616,1006.7870967741934,212.25806451612902,295363,0,0,0,1,0,0,0,1
201808,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,24.91290322580645,186.1290322580645,1004.683870967742,213.54838709677415,494328,0,0,0,1,0,0,0,1
201906,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,16.05666666666667,192.66666666666663,1004.61,224.0,197532,0,0,1,0,0,0,1,0
201907,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,22.63548387096775,177.74193548387098,1004.0612903225806,203.8709677419355,317321,0,0,0,1,0,0,0,1
201908,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,24.235483870967744,180.64516129032262,1004.6225806451616,216.1290322580645,478483,0,0,0,1,0,0,0,1
