date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,1008.2193548387096,17.241935483870968,22.26774193548388,1.8070967741935489,24.46842105263158,6.054838709677418,23.91290322580645,27.903225806451612,28.209677419354843,156966,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,1013.47,18.693333333333328,14.216666666666667,1.9046666666666667,23.555555555555557,5.003333333333333,17.439999999999994,22.586666666666666,21.806666666666665,79396,3.0,0,0,1,0,0,0,1,0
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,1018.1870967741936,19.246666666666673,6.493548387096772,1.9058064516129032,9.027272727272726,4.935483870967742,11.048387096774198,17.335483870967742,15.364516129032257,147860,3.0,0,0,1,0,0,0,1,0
201211,11,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1019.2866666666664,18.883333333333336,-1.8066666666666669,1.369333333333333,4.52,5.503333333333333,1.76,8.423333333333332,5.416666666666668,120222,3.0,0,1,0,0,0,1,0,0
201212,12,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,1024.6354838709676,17.99032258064516,-10.112903225806454,1.2487096774193545,3.292307692307692,5.5580645161290345,-7.390322580645162,1.883870967741936,-1.4677419354838712,213467,4.0,1,0,0,0,1,0,0,0
201301,1,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,1026.3774193548388,16.648387096774194,-9.396774193548383,1.294193548387097,3.266666666666667,5.190322580645162,-6.587096774193549,-0.025806451612903226,-1.9645161290322581,144778,4.0,1,0,0,0,1,0,0,0
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,1025.132142857143,15.217857142857143,-7.0500000000000025,1.7971428571428572,5.327272727272726,5.703571428571428,-4.917857142857144,0.08214285714285717,-0.03928571428571431,138306,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,1017.858064516129,13.874193548387098,-2.674193548387097,2.229032258064516,3.4714285714285715,6.1,0.7193548387096775,5.516129032258063,5.987096774193548,125046,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,1012.9366666666666,12.986666666666665,2.806666666666666,2.1976666666666658,3.983333333333333,6.920000000000003,5.703333333333332,10.313333333333333,11.123333333333335,85039,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,1011.5,12.780645161290321,10.516129032258062,2.281935483870968,11.0,5.861290322580645,13.661290322580642,17.90645161290322,19.883870967741935,67969,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,1007.68,13.186666666666667,17.256666666666668,2.3363333333333336,2.83,4.9300000000000015,20.46,24.55,27.03666666666668,67218,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,1005.006451612903,14.999999999999995,22.445161290322584,1.3993548387096777,29.4,6.790322580645161,23.42580645161291,25.419354838709673,26.393548387096786,144185,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,1006.4548387096772,16.474193548387095,22.54193548387097,2.053225806451613,8.255555555555555,5.564516129032258,24.838709677419356,27.74516129032257,28.69677419354839,284597,2.0,0,0,0,1,0,0,0,1
