date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1.9516129032258067,18.190322580645173,9.641935483870967,8.116129032258067,-0.5387096774193549,5.141935483870967,19308,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,2.103225806451613,17.14193548387097,9.903225806451612,8.196774193548388,-2.270967741935484,5.3419354838709685,29042,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,2.7034482758620686,15.86206896551724,10.810344827586208,8.720689655172412,-0.7321428571428571,5.641379310344827,18713,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,2.770967741935485,14.616129032258069,11.983870967741936,10.574193548387097,6.2,6.532258064516128,30889,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,4.406666666666667,13.7,13.186666666666667,11.04,14.526666666666667,6.94,30026,1.0,0,1,0,0,0,1,0,0
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,6.022580645161291,13.37333333333333,14.212903225806446,9.261290322580646,23.99032258064516,5.793548387096774,23186,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,7.643333333333333,13.830000000000002,14.73666666666667,9.42666666666667,29.746666666666666,5.836666666666668,33053,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,4.154838709677419,15.50666666666667,14.467741935483868,8.735483870967743,26.93225806451613,5.429032258064513,31982,2.0,0,0,0,1,0,0,0,1
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,5.361290322580643,17.241935483870968,13.574193548387097,10.122580645161287,28.300000000000008,6.054838709677418,43775,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,3.8066666666666658,18.693333333333328,12.423333333333336,8.256666666666668,22.07333333333333,5.003333333333333,21241,3.0,0,0,1,0,0,0,1,0
