date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 시각(hhmi),최저 해면기압 시각(hhmi),최대 순간풍속 풍향(16방위),풍정합(100m),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201111,11,14.693333333333335,41.96666666666667,10.68666666666667,60.37666666666666,3.746666666666667,2.7200000000000006,4.316666666666666,1384.333333333333,1238.7333333333333,191.66666666666663,2349.833333333333,61697,3.0,0,1,0,0,0,1,0,0
201112,12,2.851612903225808,31.677419354838708,-0.870967741935484,50.43870967741936,0.5916666666666667,2.6161290322580637,6.3096774193548395,1342.3225806451612,1271.483870967742,233.2258064516129,2258.6451612903224,21267,4.0,1,0,0,0,1,0,0,0
201201,1,1.338709677419355,30.548387096774192,-2.7870967741935484,48.85806451612903,0.5583333333333333,2.532258064516128,6.14516129032258,1454.0,1265.9354838709678,262.5806451612903,2186.7096774193546,17458,4.0,1,0,0,0,1,0,0,0
201202,2,2.96896551724138,23.62068965517241,-2.0448275862068965,43.17931034482758,0.13333333333333333,2.86551724137931,7.755172413793103,1334.9310344827584,1341.5517241379312,255.5172413793104,2468.4137931034484,20267,4.0,1,0,0,0,1,0,0,0
201203,3,9.52258064516129,28.41935483870968,5.090322580645162,51.84516129032257,3.3857142857142857,3.52258064516129,6.187096774193549,1627.7419354838707,1204.3225806451612,217.09677419354838,3052.483870967741,27647,1.0,0,1,0,0,0,1,0,0
201204,4,17.886666666666674,30.13333333333333,12.34,54.10333333333333,17.444444444444443,3.423333333333334,7.083333333333334,1350.2333333333333,1352.5333333333333,223.33333333333331,2953.5333333333333,75936,1.0,0,1,0,0,0,1,0,0
201205,5,25.1483870967742,26.838709677419356,19.73225806451613,48.23225806451613,0.82,2.6516129032258067,8.106451612903228,1415.354838709677,1382.516129032258,203.54838709677415,2293.870967741936,80267,1.0,0,0,1,0,0,0,1,0
201206,6,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,1413.2666666666669,1462.4,193.0,2424.0,47308,2.0,0,0,0,1,0,0,0,1
201207,7,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,1187.8387096774193,1056.451612903226,217.41935483870967,2354.7096774193546,26241,2.0,0,0,0,1,0,0,0,1
201208,8,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,1477.8709677419354,1338.967741935484,169.67741935483872,2556.516129032258,26882,2.0,0,0,0,1,0,0,0,1
201209,9,24.97666666666667,43.23333333333333,20.963333333333328,65.14999999999999,17.666666666666668,2.296666666666666,6.3599999999999985,1395.6333333333334,1130.4,181.0,1987.833333333333,42107,3.0,0,0,1,0,0,0,1,0
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,1406.0967741935485,1165.8064516129034,240.96774193548384,1971.8064516129032,125906,3.0,0,0,1,0,0,0,1,0
201211,11,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1274.0,1137.9666666666667,228.33333333333331,2340.133333333333,52830,3.0,0,1,0,0,0,1,0,0
201212,12,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,1127.967741935484,1055.548387096774,238.38709677419362,2353.451612903226,15722,4.0,1,0,0,0,1,0,0,0
201301,1,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,1317.3225806451612,1152.0,215.4838709677419,2308.903225806452,17562,4.0,1,0,0,0,1,0,0,0
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,1250.4642857142858,1192.5357142857142,241.07142857142856,2494.428571428572,20990,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,1245.1290322580646,1248.3870967741937,250.0,2622.548387096774,36389,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,1407.1333333333334,1308.6333333333334,235.66666666666663,2954.9,62810,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,1481.4193548387098,1351.0967741935485,211.9354838709677,2509.483870967742,119635,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,1491.2,1343.0,243.0,1927.6333333333328,50889,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,1234.3548387096773,1296.4193548387098,232.5806451612904,2898.6129032258063,24995,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,1438.5806451612902,1268.258064516129,241.61290322580646,2393.064516129032,33110,2.0,0,0,0,1,0,0,0,1
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,1456.833333333333,1073.2666666666667,188.0,1933.7333333333331,56914,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,1215.8709677419354,1318.8709677419354,166.1290322580645,2137.0967741935488,103908,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,1291.5666666666666,1178.6,229.33333333333331,2368.7,60978,3.0,0,1,0,0,0,1,0,0
201312,12,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,1346.9032258064515,1006.741935483871,245.4838709677419,2064.2580645161293,20035,4.0,1,0,0,0,1,0,0,0
201401,1,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,1436.6129032258066,1315.7096774193546,258.06451612903226,2095.0967741935488,21712,4.0,1,0,0,0,1,0,0,0
201402,2,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1402.2142857142858,1236.142857142857,182.5,2330.142857142857,36721,4.0,1,0,0,0,1,0,0,0
201403,3,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,1416.2580645161293,1200.741935483871,217.74193548387098,2618.322580645161,44840,1.0,0,1,0,0,0,1,0,0
201404,4,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,1519.833333333333,1459.333333333333,227.66666666666663,2435.333333333333,89737,1.0,0,1,0,0,0,1,0,0
201405,5,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1462.161290322581,1036.3225806451612,238.06451612903226,2774.483870967741,100809,1.0,0,0,1,0,0,0,1,0
201406,6,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,1449.9333333333334,1506.3,216.66666666666663,2254.0666666666666,37959,2.0,0,0,0,1,0,0,0,1
