예보시각,관광기후지수,관광기후지수등급,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,일조합,일조율,일사합,평균습도(%rh),최저습도(%rh),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),최대순간풍속시각,최대풍속시각,year_month_day,year_month,month_day,year,month,date,day
2020-03-01,-0.168,2.0,5.8,10.1,1314,3.2,511,6.9,0.2,0.0,0,0.2,1.8,5.4,71.8,58.0,2.0,4.7,270.0,8.3,320.0,2236,1529,20200301,202003,301,2020,3,1,Sunday
2020-03-02,-0.04600000000000001,2.0,3.4,7.6,1546,0.0,723,7.6,0.0,0.0,0,10.0,87.7,17.08,55.3,33.0,2.7,4.9,290.0,9.3,290.0,526,451,20200302,202003,302,2020,3,2,Monday
2020-03-03,-0.23080000000000006,1.8,4.8,10.5,1329,0.3,441,10.2,0.0,0.0,0,4.1,35.7,10.62,57.0,35.0,2.6,4.7,320.0,8.0,270.0,1547,1747,20200303,202003,303,2020,3,3,Tuesday
2020-03-04,-0.7828,1.0,2.2,4.6,1046,-1.3,2351,5.9,0.0,0.0,0,6.6,57.4,10.41,53.4,32.0,3.7,6.8,270.0,11.7,250.0,1112,1118,20200304,202003,304,2020,3,4,Wednesday
2020-03-05,-0.07760000000000006,2.0,1.4,6.3,1527,-2.8,654,9.1,0.0,0.0,0,10.9,94.8,19.25,47.5,25.0,2.5,4.1,270.0,7.6,200.0,1258,1401,20200305,202003,305,2020,3,5,Thursday
2020-03-06,0.025200000000000014,2.0,3.7,10.1,1621,-2.5,718,12.6,0.0,0.0,0,10.6,91.4,16.82,46.8,16.0,1.6,3.6,200.0,6.0,180.0,1452,1454,20200306,202003,306,2020,3,6,Friday
2020-03-07,-0.14480000000000007,2.0,7.0,14.2,1442,1.3,633,12.9,0.0,0.0,0,5.9,50.9,13.0,39.5,18.0,2.0,4.1,270.0,6.3,290.0,1748,1624,20200307,202003,307,2020,3,7,Saturday
2020-03-08,0.13399999999999995,2.92,9.3,16.9,1559,2.3,723,14.6,0.0,0.0,0,10.7,91.5,18.27,43.8,20.0,1.6,4.6,270.0,7.0,270.0,1740,1754,20200308,202003,308,2020,3,8,Sunday
2020-03-09,-0.10480000000000006,2.0,11.1,17.6,1423,4.8,719,12.8,0.0,0.0,0,7.1,60.7,14.19,37.6,20.0,1.8,4.5,320.0,7.3,320.0,2053,1942,20200309,202003,309,2020,3,9,Monday
2020-03-10,-0.8032000000000002,1.0,6.4,10.8,1,3.2,2343,7.6,11.8,0.0,0,0.0,0.0,2.72,78.4,40.0,2.8,5.3,290.0,8.7,290.0,1840,1841,20200310,202003,310,2020,3,10,Tuesday
