areaCode,areaNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
45,전라북도,20210429,4,목요일,2,외지인(b),192888.5
45,전라북도,20210429,4,목요일,3,외국인(c),322.6569602
46,전라남도,20210429,4,목요일,1,현지인(a),919023
46,전라남도,20210429,4,목요일,2,외지인(b),276552.5
46,전라남도,20210429,4,목요일,3,외국인(c),1161.12957
47,경상북도,20210429,4,목요일,1,현지인(a),1352575
47,경상북도,20210429,4,목요일,2,외지인(b),373138.5
47,경상북도,20210429,4,목요일,3,외국인(c),2792.659163
48,경상남도,20210429,4,목요일,1,현지인(a),1500247
48,경상남도,20210429,4,목요일,2,외지인(b),347259.5
48,경상남도,20210429,4,목요일,3,외국인(c),1610.307201
50,제주특별자치도,20210429,4,목요일,1,현지인(a),529760
50,제주특별자치도,20210429,4,목요일,2,외지인(b),175483
50,제주특별자치도,20210429,4,목요일,3,외국인(c),1143.382903
11,서울특별시,20210430,5,금요일,1,현지인(a),4536574
11,서울특별시,20210430,5,금요일,2,외지인(b),1490986
11,서울특별시,20210430,5,금요일,3,외국인(c),3670.079193
26,부산광역시,20210430,5,금요일,1,현지인(a),1355336.5
26,부산광역시,20210430,5,금요일,2,외지인(b),363716.5
26,부산광역시,20210430,5,금요일,3,외국인(c),2065.061031
27,대구광역시,20210430,5,금요일,1,현지인(a),1172993.5
27,대구광역시,20210430,5,금요일,2,외지인(b),275268
27,대구광역시,20210430,5,금요일,3,외국인(c),248.9579534
28,인천광역시,20210430,5,금요일,1,현지인(a),1207108
28,인천광역시,20210430,5,금요일,2,외지인(b),390701.5
28,인천광역시,20210430,5,금요일,3,외국인(c),3245.669609
29,광주광역시,20210430,5,금요일,1,현지인(a),767655
29,광주광역시,20210430,5,금요일,2,외지인(b),171010
29,광주광역시,20210430,5,금요일,3,외국인(c),193.5965405
30,대전광역시,20210430,5,금요일,1,현지인(a),706541.5
48,경상남도,20210430,5,금요일,1,현지인(a),1535947
48,경상남도,20210430,5,금요일,2,외지인(b),408632
48,경상남도,20210430,5,금요일,3,외국인(c),1436.694704
50,제주특별자치도,20210430,5,금요일,1,현지인(a),536602.5
50,제주특별자치도,20210430,5,금요일,2,외지인(b),183281
50,제주특별자치도,20210430,5,금요일,3,외국인(c),1568.609111
30,대전광역시,20210430,5,금요일,2,외지인(b),201075
30,대전광역시,20210430,5,금요일,3,외국인(c),217.8605886
31,울산광역시,20210430,5,금요일,1,현지인(a),477827
31,울산광역시,20210430,5,금요일,2,외지인(b),120673
31,울산광역시,20210430,5,금요일,3,외국인(c),1145.636441
36,세종특별자치시,20210430,5,금요일,1,현지인(a),144123
36,세종특별자치시,20210430,5,금요일,2,외지인(b),77108.5
36,세종특별자치시,20210430,5,금요일,3,외국인(c),71.91599553
41,경기도,20210430,5,금요일,1,현지인(a),5943658
41,경기도,20210430,5,금요일,2,외지인(b),1623744.5
41,경기도,20210430,5,금요일,3,외국인(c),6514.963817
42,강원도,20210430,5,금요일,1,현지인(a),976755.5
42,강원도,20210430,5,금요일,2,외지인(b),350735
42,강원도,20210430,5,금요일,3,외국인(c),258.9678919
43,충청북도,20210430,5,금요일,1,현지인(a),760816
43,충청북도,20210430,5,금요일,2,외지인(b),280833
43,충청북도,20210430,5,금요일,3,외국인(c),443.8893335
44,충청남도,20210430,5,금요일,1,현지인(a),1032794
