baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210426,1,월요일,48330,양산시,1,현지인(a),182927.5
20210426,1,월요일,48330,양산시,2,외지인(b),78918
20210426,1,월요일,48330,양산시,3,외국인(c),47.75830116
20210426,1,월요일,48720,의령군,1,현지인(a),14787.5
20210426,1,월요일,48720,의령군,2,외지인(b),9425.5
20210426,1,월요일,48720,의령군,3,외국인(c),1
20210426,1,월요일,48730,함안군,1,현지인(a),36235.5
20210426,1,월요일,48730,함안군,2,외지인(b),25256
20210426,1,월요일,48730,함안군,3,외국인(c),9.837391304
20210426,1,월요일,48740,창녕군,1,현지인(a),30233
20210426,1,월요일,48740,창녕군,2,외지인(b),20492.5
20210426,1,월요일,48740,창녕군,3,외국인(c),5.65
20210426,1,월요일,48820,고성군,1,현지인(a),25896.5
20210426,1,월요일,48820,고성군,2,외지인(b),19467
20210426,1,월요일,48820,고성군,3,외국인(c),32.75196819
20210426,1,월요일,48840,남해군,1,현지인(a),22540
20210426,1,월요일,48840,남해군,2,외지인(b),16187.5
20210426,1,월요일,48840,남해군,3,외국인(c),287.404042
20210426,1,월요일,48850,하동군,1,현지인(a),16929.5
20210426,1,월요일,48850,하동군,2,외지인(b),13772.5
20210426,1,월요일,48850,하동군,3,외국인(c),8.126222222
20210426,1,월요일,48860,산청군,1,현지인(a),14689.5
20210426,1,월요일,48860,산청군,2,외지인(b),12099.5
20210426,1,월요일,48860,산청군,3,외국인(c),5.984444444
20210426,1,월요일,48870,함양군,1,현지인(a),21563.5
20210426,1,월요일,41111,수원시 장안구,3,외국인(c),64.80746667
20210426,1,월요일,41113,수원시 권선구,1,현지인(a),132898.5
20210426,1,월요일,41113,수원시 권선구,2,외지인(b),92582
20210426,1,월요일,41113,수원시 권선구,3,외국인(c),93.27545076
20210426,1,월요일,41115,수원시 팔달구,1,현지인(a),94111.5
20210426,1,월요일,41115,수원시 팔달구,2,외지인(b),134795.5
20210426,1,월요일,41115,수원시 팔달구,3,외국인(c),116.9822842
20210426,1,월요일,41117,수원시 영통구,1,현지인(a),180411
20210426,1,월요일,41117,수원시 영통구,2,외지인(b),134172.5
20210426,1,월요일,41117,수원시 영통구,3,외국인(c),93.1889375
20210426,1,월요일,41131,성남시 수정구,1,현지인(a),100964.5
20210426,1,월요일,41131,성남시 수정구,2,외지인(b),91189
20210426,1,월요일,41131,성남시 수정구,3,외국인(c),87.13096115
20210426,1,월요일,41133,성남시 중원구,1,현지인(a),89845
20210426,1,월요일,41133,성남시 중원구,2,외지인(b),70535.5
20210426,1,월요일,41133,성남시 중원구,3,외국인(c),25.55342593
20210426,1,월요일,41135,성남시 분당구,1,현지인(a),360934
20210426,1,월요일,41135,성남시 분당구,2,외지인(b),210143.5
20210426,1,월요일,41135,성남시 분당구,3,외국인(c),179.2583226
20210426,1,월요일,41150,의정부시,1,현지인(a),237058.5
20210426,1,월요일,41150,의정부시,2,외지인(b),98535.5
20210426,1,월요일,41150,의정부시,3,외국인(c),34.38289157
20210426,1,월요일,41171,안양시 만안구,1,현지인(a),111587
20210426,1,월요일,41171,안양시 만안구,2,외지인(b),74697
20210426,1,월요일,41171,안양시 만안구,3,외국인(c),41.55576159
20210426,1,월요일,41173,안양시 동안구,1,현지인(a),155505
20210426,1,월요일,41173,안양시 동안구,2,외지인(b),99312.5
20210426,1,월요일,41173,안양시 동안구,3,외국인(c),48.40593472
20210426,1,월요일,41190,부천시,1,현지인(a),470239
20210426,1,월요일,41190,부천시,2,외지인(b),171524.5
20210426,1,월요일,41190,부천시,3,외국인(c),142.1787801
20210426,1,월요일,41210,광명시,1,현지인(a),134022
20210426,1,월요일,41210,광명시,2,외지인(b),91605.5
20210426,1,월요일,41210,광명시,3,외국인(c),168.777492
20210426,1,월요일,41220,평택시,1,현지인(a),258247.5
20210426,1,월요일,41220,평택시,2,외지인(b),112542.5
20210426,1,월요일,41220,평택시,3,외국인(c),1246.39291
20210426,1,월요일,41250,동두천시,1,현지인(a),46291
20210426,1,월요일,41250,동두천시,2,외지인(b),21084
20210426,1,월요일,41250,동두천시,3,외국인(c),14.16410256
20210426,1,월요일,41271,안산시 상록구,1,현지인(a),133721
20210426,1,월요일,41271,안산시 상록구,2,외지인(b),72611
20210426,1,월요일,41271,안산시 상록구,3,외국인(c),74.02504892
20210426,1,월요일,41273,안산시 단원구,1,현지인(a),177292.5
20210426,1,월요일,41273,안산시 단원구,2,외지인(b),125363
20210426,1,월요일,41273,안산시 단원구,3,외국인(c),261.862708
20210426,1,월요일,41281,고양시 덕양구,1,현지인(a),235991
20210426,1,월요일,41281,고양시 덕양구,2,외지인(b),152796
20210426,1,월요일,41281,고양시 덕양구,3,외국인(c),96.82960552
20210426,1,월요일,41285,고양시 일산동구,1,현지인(a),194708.5
20210426,1,월요일,41285,고양시 일산동구,2,외지인(b),154476
20210426,1,월요일,41285,고양시 일산동구,3,외국인(c),84.1601157
20210426,1,월요일,41287,고양시 일산서구,1,현지인(a),155687
20210426,1,월요일,41287,고양시 일산서구,2,외지인(b),98812
20210426,1,월요일,41287,고양시 일산서구,3,외국인(c),75.31305668
20210426,1,월요일,41290,과천시,1,현지인(a),53448.5
20210426,1,월요일,41290,과천시,2,외지인(b),51495.5
20210426,1,월요일,41290,과천시,3,외국인(c),16.07105769
20210426,1,월요일,41310,구리시,1,현지인(a),137112.5
20210426,1,월요일,41310,구리시,2,외지인(b),126301
20210426,1,월요일,41310,구리시,3,외국인(c),25.57380682
20210426,1,월요일,41360,남양주시,1,현지인(a),371836.5
20210426,1,월요일,41360,남양주시,2,외지인(b),178500
20210426,1,월요일,41360,남양주시,3,외국인(c),69.4188046
20210426,1,월요일,41370,오산시,1,현지인(a),109560.5
20210426,1,월요일,41370,오산시,2,외지인(b),63714
20210426,1,월요일,41370,오산시,3,외국인(c),85.56271141
20210426,1,월요일,41390,시흥시,1,현지인(a),190757
20210426,1,월요일,41390,시흥시,2,외지인(b),128264.5
20210426,1,월요일,41390,시흥시,3,외국인(c),153.3903104
20210426,1,월요일,41410,군포시,1,현지인(a),145190.5
20210426,1,월요일,41410,군포시,2,외지인(b),63896
20210426,1,월요일,41410,군포시,3,외국인(c),816.2501739
20210426,1,월요일,41430,의왕시,1,현지인(a),64298.5
20210426,1,월요일,41430,의왕시,2,외지인(b),64617
20210426,1,월요일,41430,의왕시,3,외국인(c),540.2238508
20210426,1,월요일,41450,하남시,1,현지인(a),171244.5
20210426,1,월요일,41450,하남시,2,외지인(b),132552
20210426,1,월요일,41450,하남시,3,외국인(c),64.89654952
20210426,1,월요일,41461,용인시 처인구,1,현지인(a),142698.5
20210426,1,월요일,41461,용인시 처인구,2,외지인(b),114394
20210426,1,월요일,41461,용인시 처인구,3,외국인(c),393.9922142
20210426,1,월요일,41463,용인시 기흥구,1,현지인(a),225302
20210426,1,월요일,41463,용인시 기흥구,2,외지인(b),140640.5
20210426,1,월요일,41463,용인시 기흥구,3,외국인(c),103.7716106
20210426,1,월요일,41465,용인시 수지구,1,현지인(a),161591.5
20210426,1,월요일,41465,용인시 수지구,2,외지인(b),85809.5
20210426,1,월요일,41465,용인시 수지구,3,외국인(c),100.3047704
20210426,1,월요일,41480,파주시,1,현지인(a),214130
20210426,1,월요일,41480,파주시,2,외지인(b),121516.5
20210426,1,월요일,41480,파주시,3,외국인(c),78.64581315
20210426,1,월요일,41500,이천시,1,현지인(a),139846
20210426,1,월요일,41500,이천시,2,외지인(b),90268.5
20210426,1,월요일,41500,이천시,3,외국인(c),61.96583784
20210426,1,월요일,41550,안성시,1,현지인(a),109431
20210426,1,월요일,41550,안성시,2,외지인(b),88014.5
20210426,1,월요일,41550,안성시,3,외국인(c),75.96793194
20210426,1,월요일,41570,김포시,1,현지인(a),277837
20210426,1,월요일,41570,김포시,2,외지인(b),127785
20210426,1,월요일,41570,김포시,3,외국인(c),603.1386824
20210426,1,월요일,41590,화성시,1,현지인(a),403991
20210426,1,월요일,41590,화성시,2,외지인(b),242217.5
20210426,1,월요일,41590,화성시,3,외국인(c),946.6448612
20210426,1,월요일,41610,광주시,1,현지인(a),193137
20210426,1,월요일,41610,광주시,2,외지인(b),111212.5
20210426,1,월요일,41610,광주시,3,외국인(c),79.38826168
20210426,1,월요일,41630,양주시,1,현지인(a),109830
20210426,1,월요일,41630,양주시,2,외지인(b),75932.5
20210426,1,월요일,41630,양주시,3,외국인(c),26.38056075
20210426,1,월요일,41650,포천시,1,현지인(a),96243
20210426,1,월요일,41650,포천시,2,외지인(b),67858
20210426,1,월요일,41650,포천시,3,외국인(c),29.54943396
20210426,1,월요일,41670,여주시,1,현지인(a),74004
20210426,1,월요일,41670,여주시,2,외지인(b),60434.5
20210426,1,월요일,41670,여주시,3,외국인(c),38.00903226
20210426,1,월요일,41800,연천군,1,현지인(a),28241.5
20210426,1,월요일,41800,연천군,2,외지인(b),21385
20210426,1,월요일,41800,연천군,3,외국인(c),5.86137931
20210426,1,월요일,41820,가평군,1,현지인(a),40169.5
20210426,1,월요일,41820,가평군,2,외지인(b),53599
20210426,1,월요일,41820,가평군,3,외국인(c),12.03818182
20210426,1,월요일,41830,양평군,1,현지인(a),71295
20210426,1,월요일,41830,양평군,2,외지인(b),67655
20210426,1,월요일,41830,양평군,3,외국인(c),19.91773869
20210426,1,월요일,42110,춘천시,1,현지인(a),215435.5
20210426,1,월요일,42110,춘천시,2,외지인(b),63248.5
20210426,1,월요일,42110,춘천시,3,외국인(c),30.18035503
20210426,1,월요일,42130,원주시,1,현지인(a),235998
20210426,1,월요일,42130,원주시,2,외지인(b),64319.5
20210426,1,월요일,42130,원주시,3,외국인(c),52.62701613
20210426,1,월요일,42150,강릉시,1,현지인(a),175000
20210426,1,월요일,42150,강릉시,2,외지인(b),65954
20210426,1,월요일,42150,강릉시,3,외국인(c),33.6266129
20210426,1,월요일,42170,동해시,1,현지인(a),65222.5
20210426,1,월요일,42170,동해시,2,외지인(b),28119
20210426,1,월요일,42170,동해시,3,외국인(c),74.39649499
20210426,1,월요일,42190,태백시,1,현지인(a),37579.5
20210426,1,월요일,42190,태백시,2,외지인(b),10559.5
20210426,1,월요일,42190,태백시,3,외국인(c),3.355897436
20210426,1,월요일,42210,속초시,1,현지인(a),67088
20210426,1,월요일,42210,속초시,2,외지인(b),55573
20210426,1,월요일,42210,속초시,3,외국인(c),7.112676056
20210426,1,월요일,42230,삼척시,1,현지인(a),43421
20210426,1,월요일,42230,삼척시,2,외지인(b),24062.5
20210426,1,월요일,42230,삼척시,3,외국인(c),36.56666667
20210426,1,월요일,42720,홍천군,1,현지인(a),36739.5
20210426,1,월요일,42720,홍천군,2,외지인(b),32238.5
