"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","7**","다가구","8m미만","174.08","114","201605","6","28,500","1995","인수봉로20가길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","193.66","114.7","201603","21","56,700","1991","솔샘로65길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","249.36","115.1","201608","3","69,650","1991","솔샘로65길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","127.71","116","201602","29","45,000","1966","인수봉로12가길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","160.65","116","201605","4","45,400","1997","솔샘로59길",""
"서울특별시 강북구 미아동","8*","다가구","8m미만","168.2","116","201606","8","42,000","1994","오현로10길",""
"서울특별시 강북구 미아동","8**","다가구","8m미만","199.91","116","201611","1","54,500","1992","솔샘로47길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","208.66","116","201611","19","50,300","1995","도봉로29길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","199.26","117","201609","19","37,000","1993","솔매로7가길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","208.04","117","201610","11","57,000","1993","도봉로63길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","185.19","118","201604","30","46,730","1991","숭인로13길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","190.71","118.7","201604","12","48,500","1990","도봉로37길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","199.55","120.3","201604","7","55,000","1991","솔매로54길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","165.36","122","201602","29","42,740","1993","인수봉로12가길",""
"서울특별시 강북구 미아동","8*","다가구","8m미만","169.3","122","201609","12","57,800","1994","오패산로35길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","174.76","122","201607","26","51,800","1994","삼양로20길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","198.45","122.3","201607","31","60,000","1991","솔매로37길",""
"서울특별시 강북구 미아동","3**","다가구","25m미만","165.39","123.3","201605","3","85,000","1976","솔매로",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","239.89","124","201605","30","95,000","2014","솔샘로65길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","199.53","125","201604","12","43,470","1991","삼양로68길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","211.47","125","201609","6","74,500","1994","오패산로31길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","261.92","125","201610","25","73,730","1993","도봉로19길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","262.58","125","201609","8","74,460","1993","도봉로19길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","117.92","126","201609","2","30,400","1975","도봉로28길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","183.87","126","201607","23","53,000","1992","솔샘로64나길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","185.13","126","201601","11","64,000","1997","오현로6길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","186.21","126","201602","19","51,000","1987","솔샘로48길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","198.54","129","201602","29","39,000","1993","인수봉로12가길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","227.55","129","201610","31","78,000","1992","월계로7가길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","279.35","129","201604","14","73,800","1995","월계로5길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","299.94","129","201604","23","50,000","1996","솔매로31길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","253.75","129.3","201605","15","126,000","2016","솔샘로65길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","234.27","130.2","201608","17","70,200","1991","솔샘로65길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","161.06","130.9","201606","6","64,800","1974","도봉로25길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","215.22","132","201607","5","66,000","1991","오패산로",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","218.49","132","201610","10","66,000","1993","오패산로",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","232.85","132","201605","7","47,000","1986","솔샘로47나길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","267","132.6","201610","13","80,000","1990","도봉로59길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","192.06","133.2","201608","3","66,000","1990","도봉로45길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","220.71","134","201604","1","83,000","1997","오현로6길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","185.31","135","201604","15","41,600","1986","솔매로28길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","190.07","136","201604","5","62,000","1992","오패산로28길",""
"서울특별시 강북구 미아동","8*","다가구","8m미만","213.37","136","201607","13","59,500","2005","오패산로38길",""
"서울특별시 강북구 미아동","4**","다가구","12m미만","299.68","136","201606","19","85,700","1994","삼양로20길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","237.18","137.5","201607","1","61,500","1993","도봉로49길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","231.72","138.5","201610","7","61,500","1992","도봉로63길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","317.68","138.9","201611","2","75,600","1998","도봉로63길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","146.52","139","201609","21","34,214","1975","오현로9나길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","245.25","139","201603","15","45,500","1995","도봉로18다길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","229.67","142.5","201603","15","70,000","1992","도봉로47길",""
"서울특별시 강북구 미아동","6**","다가구","8m미만","199.43","143","201605","13","54,000","1993","삼양로16길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","302.02","143","201606","1","35,000","1997","인수봉로12길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","294.75","143.5","201610","7","86,800","1994","도봉로37길",""
"서울특별시 강북구 미아동","*","다가구","8m미만","299.64","143.8","201608","16","53,000","1993","도봉로18다길",""
"서울특별시 강북구 미아동","4*","다가구","8m미만","172.78","145","201603","12","61,600","1995","오패산로",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","242.43","145.5","201606","3","56,700","1990","도봉로29길",""
