"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","416-79","0416","0079","(416-79)","26.8","20","201610","12","15,000","-1","1993","솔샘로64나길 42-4",""
"서울특별시 강북구 미아동","42-69","0042","0069","(42-69)","27.58","16.2","201610","15","21,500","3","1996","월계로3가길 3-4",""
"서울특별시 강북구 미아동","421","0421","0000","(421-0)","49.41","28.69","201604","14","17,000","1","1991","솔샘로64가길 23",""
"서울특별시 강북구 미아동","424-1","0424","0001","(424-1)","34.1","24.26","201603","23","17,200","2","1992","솔샘로64가길 24-1",""
"서울특별시 강북구 미아동","436-20","0436","0020","(436-20)","32.86","23.02","201605","11","17,300","1","1992","삼양로20나길 46-1",""
"서울특별시 강북구 미아동","436-33","0436","0033","(436-33)","25.3","23.2","201610","31","13,900","-1","1992","삼양로20나길 40-11",""
"서울특별시 강북구 미아동","436-48","0436","0048","(436-48)","20.3","14.16","201606","2","14,000","1","1995","삼양로20나길 40-27",""
"서울특별시 강북구 미아동","436-68","0436","0068","(436-68)","37.59","22.93","201606","1","16,000","1","1991","삼양로20나길 40-13",""
"서울특별시 강북구 미아동","436-68","0436","0068","(436-68)","23.02","14.04","201609","29","14,000","1","1991","삼양로20나길 40-13",""
"서울특별시 강북구 미아동","472-4","0472","0004","(472-4)","35","29.17","201601","20","13,000","1","1991","숭인로13길 27-7",""
"서울특별시 강북구 미아동","49-143","0049","0143","(49-143)","41.57","24.89","201605","24","8,800","1","1989","오패산로 114-12",""
"서울특별시 강북구 미아동","49-143","0049","0143","(49-143)","24.47","17.6","201606","15","5,200","2","1989","오패산로 114-12",""
"서울특별시 강북구 미아동","636-108","0636","0108","(636-108)","49.79","29.76","201603","28","15,250","-1","1993","숭인로7길 45",""
"서울특별시 강북구 미아동","637-266","0637","0266","(637-266)","42.88","29.67","201605","4","15,800","-1","1994","삼양로20길 14-3",""
"서울특별시 강북구 미아동","637-335","0637","0335","(637-335)","48.54","32.6","201601","22","20,000","1","1994","삼양로20길 13-9",""
"서울특별시 강북구 미아동","637-335","0637","0335","(637-335)","48.54","32.6","201604","25","20,500","1","1994","삼양로20길 13-9",""
"서울특별시 강북구 미아동","637-335","0637","0335","(637-335)","48.54","32.6","201607","4","21,000","1","1994","삼양로20길 13-9",""
"서울특별시 강북구 미아동","637-75","0637","0075","(637-75)","28.98","20.1","201607","28","14,000","-1","1994","삼양로20길 14-4",""
