date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),풍정합(100m),최대 순간풍속 풍향(16방위),최저 해면기압 시각(hhmi),최대 순간풍속 시각(hhmi),창경궁
201208,8,30.851612903225814,27.132258064516122,51.0,67.95483870967742,25.82777777777778,2.967741935483871,5.119354838709678,2556.516129032258,169.67741935483872,1338.967741935484,1477.8709677419354,26882
201209,9,24.976666666666667,20.963333333333328,43.233333333333334,65.14999999999999,17.666666666666668,2.296666666666666,6.359999999999999,1987.8333333333333,181.0,1130.4,1395.6333333333334,42107
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,1971.8064516129032,240.96774193548387,1165.8064516129032,1406.0967741935483,125906
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,2340.133333333333,228.33333333333334,1137.9666666666667,1274.0,52830
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,2353.451612903226,238.38709677419354,1055.5483870967741,1127.967741935484,15722
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,2308.9032258064517,215.48387096774192,1152.0,1317.3225806451612,17562
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,2494.4285714285716,241.07142857142858,1192.5357142857142,1250.4642857142858,20990
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,2622.548387096774,250.0,1248.3870967741937,1245.1290322580646,36389
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,2954.9,235.66666666666666,1308.6333333333334,1407.1333333333334,62810
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,2509.483870967742,211.93548387096774,1351.0967741935483,1481.4193548387098,119635
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,1927.6333333333334,243.0,1343.0,1491.2,50889
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,2898.6129032258063,232.58064516129033,1296.4193548387098,1234.3548387096773,24995
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,2393.064516129032,241.61290322580646,1268.258064516129,1438.5806451612902,33110
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,1933.7333333333333,188.0,1073.2666666666667,1456.8333333333333,56914
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,2137.0967741935483,166.1290322580645,1318.8709677419354,1215.8709677419354,103908
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,2368.7,229.33333333333334,1178.6,1291.5666666666666,60978
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,2064.2580645161293,245.48387096774192,1006.741935483871,1346.9032258064517,20035
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,2095.0967741935483,258.06451612903226,1315.7096774193549,1436.6129032258063,21712
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,2330.1428571428573,182.5,1236.142857142857,1402.2142857142858,36721
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,2618.3225806451615,217.74193548387098,1200.741935483871,1416.258064516129,44840
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,2435.3333333333335,227.66666666666666,1459.3333333333333,1519.8333333333333,89737
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,2774.483870967742,238.06451612903226,1036.3225806451612,1462.1612903225807,100809
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,2254.0666666666666,216.66666666666666,1506.3,1449.9333333333334,37959
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,2382.1612903225805,219.3548387096774,1302.6774193548388,1495.6129032258063,31164
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,2116.483870967742,147.41935483870967,1163.9032258064517,1420.774193548387,44450
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,1792.5666666666666,163.33333333333334,1340.3333333333333,1426.3,85604
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,2102.548387096774,197.74193548387098,1296.4516129032259,1384.3225806451612,116874
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,2131.4333333333334,223.0,1180.8333333333333,1341.4333333333334,75897
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,2461.2258064516127,226.4516129032258,1188.6451612903227,1279.1290322580646,19473
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,2287.7096774193546,220.6451612903226,1108.258064516129,1333.6451612903227,24256
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,2477.3928571428573,232.5,1278.0,1376.4642857142858,51984
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,2663.967741935484,250.96774193548387,1400.483870967742,1475.6129032258063,111070
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,2695.6666666666665,188.33333333333334,1243.8333333333333,1303.7,82310
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,2544.7419354838707,255.48387096774192,1417.2903225806451,1365.3548387096773,107728
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,2203.9333333333334,216.0,1278.3666666666666,1489.1333333333334,19369
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,2454.1290322580644,180.32258064516128,1223.225806451613,1391.741935483871,64166
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,2074.548387096774,212.58064516129033,1362.225806451613,1450.3548387096773,90527
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,1998.0333333333333,188.66666666666666,1357.1,1451.1333333333334,54612
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,2006.8709677419354,257.0967741935484,1157.967741935484,1455.8387096774193,113075
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,2298.5666666666666,179.0,1123.9333333333334,1271.7666666666667,61218
201512,12,5.996774193548388,1.5935483870967744,38.74193548387097,59.864516129032246,2.6454545454545455,2.3451612903225807,5.73548387096774,2025.774193548387,162.25806451612902,1232.9354838709678,1223.225806451613,27172
201601,1,1.125806451612903,-3.2000000000000006,33.064516129032256,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612904,2138.3548387096776,251.29032258064515,1252.3870967741937,1483.8709677419354,22043
201602,2,5.075862068965518,0.19310344827586204,30.724137931034484,52.051724137931025,3.966666666666667,2.7551724137931037,6.73103448275862,2374.206896551724,275.51724137931035,1196.6206896551723,1355.4137931034484,31323
201603,3,12.612903225806454,7.0451612903225795,28.225806451612904,51.01612903225805,6.750000000000001,2.4419354838709677,8.183870967741935,2112.8387096774195,294.83870967741933,1384.3548387096773,1535.483870967742,104094
201604,4,20.316666666666666,14.066666666666665,30.533333333333335,54.756666666666646,6.9818181818181815,2.4200000000000004,7.316666666666667,2082.866666666667,246.66666666666666,1349.2333333333333,1493.4666666666667,97302
201605,5,25.687096774193545,19.558064516129033,31.225806451612904,56.21935483870967,14.590909090909092,2.3677419354838714,9.035483870967743,2048.967741935484,250.32258064516128,1302.7096774193549,1575.4516129032259,153328
201606,6,28.680000000000003,23.596666666666668,41.1,62.86666666666665,4.533333333333334,2.13,7.656666666666667,1846.4333333333334,243.66666666666666,1376.0666666666666,1532.6333333333334,45270
201607,7,29.82258064516129,26.235483870967744,54.064516129032256,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,1855.967741935484,181.93548387096774,1175.4193548387098,1294.032258064516,54844
201608,8,32.63548387096775,27.99677419354839,41.67741935483871,63.88387096774194,4.19375,2.0580645161290323,7.616129032258065,1778.9032258064517,263.5483870967742,1495.8387096774193,1572.0,57004
201609,9,27.88999999999999,23.083333333333332,43.63333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,1691.2666666666667,190.66666666666666,1207.7333333333333,1224.5333333333333,78110
201610,10,21.309677419354838,16.080645161290327,40.45161290322581,62.232258064516124,7.4799999999999995,2.1193548387096772,6.31290322580645,1833.3548387096773,187.09677419354838,1190.967741935484,1191.9032258064517,121351
201611,11,11.606666666666667,6.7733333333333325,37.53333333333333,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,1914.6333333333334,223.0,1215.0,1402.5666666666666,60322
201612,12,5.8,1.2451612903225806,40.096774193548384,59.15806451612903,4.364285714285715,2.225806451612903,5.367741935483871,1924.967741935484,182.25806451612902,1100.1290322580646,1241.3870967741937,20397
201701,1,2.916129032258064,-1.8290322580645162,35.064516129032256,54.606451612903214,1.146153846153846,2.3,6.741935483870967,1985.3225806451612,233.5483870967742,1188.8064516129032,1322.6774193548388,24650
201702,2,4.80357142857143,-0.2464285714285713,30.285714285714285,53.664285714285704,1.8499999999999999,2.4464285714285707,7.5,2117.4285714285716,249.64285714285714,1241.6785714285713,1419.9642857142858,22077
201703,3,12.309677419354838,6.325806451612903,25.129032258064516,48.103225806451604,0.9875,2.367741935483872,8.23225806451613,2048.4193548387098,262.258064516129,1441.2903225806451,1560.0967741935483,37464
201704,4,19.949999999999996,13.933333333333335,27.666666666666668,52.373333333333335,6.16,2.55,8.656666666666665,2205.3,225.0,1322.2333333333333,1360.8,118778
201705,5,25.435483870967737,19.490322580645163,30.419354838709676,52.28709677419353,2.3000000000000003,2.4290322580645163,9.725806451612904,2100.2580645161293,249.03225806451613,1373.1290322580646,1525.6129032258063,96047
201706,6,28.75,23.273333333333333,33.46666666666667,56.60333333333333,5.123076923076923,2.3733333333333335,9.506666666666666,2055.133333333333,247.33333333333334,1395.8666666666666,1579.6333333333334,53251
201707,7,30.393548387096775,26.922580645161293,59.67741935483871,77.1774193548387,27.0,2.0,3.970967741935484,1732.0645161290322,191.93548387096774,1262.741935483871,1414.8064516129032,49725
201708,8,29.654838709677428,25.916129032258066,50.83870967741935,70.81935483870967,15.631578947368421,2.2548387096774194,5.361290322580647,1950.483870967742,159.3548387096774,1218.0645161290322,1313.258064516129,40567
201709,9,27.433333333333326,22.10333333333334,39.1,60.929999999999986,3.888888888888889,1.9800000000000002,8.058620689655173,1713.5666666666666,181.66666666666666,1249.6666666666667,1438.1666666666667,43801
201710,10,22.530000000000005,16.409677419354836,33.733333333333334,56.25806451612903,3.3125,1.9366666666666663,7.423333333333333,1670.0967741935483,204.0,1362.3,1427.0666666666666,192578
201711,11,10.46,5.626666666666667,32.166666666666664,53.42666666666664,2.9071428571428575,2.076666666666666,6.070370370370371,1791.2666666666667,232.66666666666666,1176.0,1280.3333333333333,67841
201712,12,2.1580645161290324,-1.929032258064516,33.16129032258065,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,1537.7586206896551,258.6666666666667,1316.9354838709678,1339.6333333333334,25287
201801,1,0.1419354838709677,-3.9774193548387093,28.93548387096774,48.03225806451612,0.7727272727272727,1.8709677419354838,6.43793103448276,1618.3870967741937,262.258064516129,1184.2903225806451,1260.0645161290322,18188
201802,2,3.2821428571428575,-1.6464285714285718,24.392857142857142,44.914285714285704,4.933333333333334,2.1785714285714284,7.192592592592593,1879.2142857142858,265.7142857142857,1491.9285714285713,1476.7142857142858,45001
201803,3,13.59677419354839,8.080645161290322,33.67741935483871,59.20645161290322,4.95,1.919354838709678,6.745161290322581,1658.4193548387098,231.61290322580646,1163.1290322580646,1368.5483870967741,42008
201804,4,18.513333333333335,12.986666666666666,29.833333333333332,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,1726.2333333333333,264.6666666666667,1245.6666666666667,1495.8,81847
201805,5,23.290322580645167,18.167741935483875,40.87096774193548,63.435483870967744,15.857142857142858,1.719354838709677,7.470967741935484,1487.7096774193549,234.51612903225808,1440.0645161290322,1435.3225806451612,97549
201806,6,28.369999999999997,23.136666666666663,39.53333333333333,63.03333333333331,14.291666666666666,1.6799999999999997,7.886666666666668,1456.6333333333334,245.33333333333334,1259.2666666666667,1408.9666666666667,49852
201807,7,32.13225806451613,27.796774193548387,49.29032258064516,67.45161290322578,18.56,1.4612903225806453,7.616666666666668,1260.8064516129032,212.25806451612902,1436.967741935484,1490.967741935484,22117
