date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속(m/s),최대 풍속(m/s),가조시간(hr),평균 지면온도(°C),5.0cm 지중온도(°C),합계 소형증발량(mm),서대문자연사박물관
201210,10,20.503225806451614,15.348387096774196,31.903225806451612,58.17741935483871,11.033333333333333,2.2838709677419358,7.593548387096776,7.874193548387097,4.935483870967742,11.22258064516129,16.158064516129034,19.24666666666667,3.2354838709677414,25009
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,9.263333333333334,5.503333333333333,10.176666666666666,5.306666666666666,18.883333333333336,1.9,31214
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,8.674193548387096,5.558064516129034,9.635483870967743,-1.8903225806451611,17.99032258064516,1.1161290322580641,18881
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,7.9548387096774205,5.190322580645162,9.916129032258066,-2.0419354838709673,16.648387096774194,1.5612903225806452,24092
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,8.985714285714286,5.703571428571428,10.821428571428573,0.36428571428571427,15.217857142857143,1.7392857142857143,13630
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,9.512903225806452,6.1,11.974193548387097,7.029032258064517,13.874193548387098,3.1193548387096763,18866
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,11.19,6.920000000000002,13.18,11.503333333333334,12.986666666666663,3.7033333333333336,26787
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,8.63548387096774,5.861290322580645,14.203225806451611,20.212903225806453,12.78064516129032,4.612903225806452,21395
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,7.743333333333334,4.930000000000001,14.73666666666667,28.15,13.186666666666667,5.343333333333332,32152
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,10.616129032258062,6.79032258064516,14.47096774193548,26.374193548387094,14.999999999999996,2.8096774193548386,31296
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,8.732258064516131,5.564516129032258,13.587096774193547,29.451612903225808,16.474193548387095,4.380645161290324,48459
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,7.63,4.616666666666666,12.430000000000003,24.119999999999997,17.606666666666666,3.643333333333332,23766
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,8.035483870967742,4.80967741935484,11.229032258064514,16.41935483870968,18.387096774193548,3.0999999999999996,24073
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,9.259999999999998,5.683333333333334,10.179999999999998,5.773333333333332,18.413333333333334,1.9999999999999998,33703
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,8.206451612903225,5.22258064516129,9.635483870967743,0.39677419354838755,17.82258064516129,1.3483870967741935,23245
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,7.777419354838708,4.941935483870967,9.90967741935484,-0.9129032258064514,16.75483870967742,1.4806451612903222,38632
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,8.09642857142857,5.171428571428572,10.810714285714287,2.1,15.51428571428571,1.9464285714285712,24261
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,10.203225806451615,6.441935483870968,11.961290322580643,9.380645161290321,14.335483870967742,3.0741935483870964,29177
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,9.436666666666666,6.113333333333333,13.166666666666666,17.94333333333333,13.673333333333336,3.3099999999999996,24761
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,10.496774193548386,6.793548387096774,14.187096774193545,23.283870967741937,13.635483870967743,4.693548387096774,26111
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,8.683333333333334,5.5533333333333355,14.740000000000004,25.90333333333333,14.033333333333331,3.746666666666667,29942
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,8.909677419354837,5.587096774193548,14.477419354838707,29.212903225806453,14.99677419354839,3.693548387096774,35226
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,8.058064516129035,4.903225806451613,13.596774193548386,26.629032258064512,16.464516129032262,2.7935483870967746,63877
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,7.386666666666667,4.5,12.440000000000001,24.873333333333335,17.436666666666667,2.9733333333333323,22734
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,8.290322580645162,5.038709677419355,11.238709677419353,16.79354838709677,18.093548387096778,2.580645161290323,26868
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,8.403333333333332,5.1433333333333335,10.183333333333332,8.49,18.17666666666667,1.4599999999999997,33254
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,9.399999999999997,5.741935483870969,9.635483870967743,-1.319354838709677,17.693548387096776,1.1225806451612905,24527
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,8.132258064516128,5.1967741935483875,9.906451612903227,-0.4258064516129031,16.78064516129032,1.0903225806451613,44478
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,9.089285714285714,5.653571428571429,10.803571428571429,1.9535714285714285,15.546428571428567,1.5428571428571427,24157
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,10.09677419354839,6.370967741935482,11.954838709677418,7.790322580645162,14.445161290322583,2.8193548387096787,22159
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,10.510000000000002,6.523333333333335,13.159999999999998,14.876666666666663,13.710000000000006,3.4933333333333327,24094
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,9.645161290322582,6.170967741935482,14.187096774193545,23.835483870967746,13.561290322580648,4.816129032258065,29008
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,9.543333333333335,5.8,14.733333333333338,27.316666666666663,13.96,4.800000000000001,6857
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,9.006451612903227,5.567741935483871,14.48064516129032,27.925806451612903,14.906666666666666,3.3354838709677415,28674
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,8.72258064516129,5.348387096774194,13.6,28.038709677419348,15.638709677419355,3.3580645161290326,48488
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,8.336666666666668,4.806666666666667,12.45,25.100000000000005,16.75,3.840000000000001,21641
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,8.719354838709675,5.280645161290322,11.251612903225803,16.283870967741937,17.53870967741935,2.709677419354838,27564
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,7.960000000000002,5.036666666666667,10.193333333333332,9.490000000000002,17.810000000000002,0.9233333333333333,27430
201512,12,5.996774193548388,1.5935483870967744,38.74193548387097,59.864516129032246,2.6454545454545455,2.3451612903225807,5.73548387096774,7.716129032258065,4.680645161290323,9.641935483870968,2.190322580645162,17.649999999999995,0.9903225806451614,22587
201601,1,1.125806451612903,-3.2000000000000006,33.064516129032256,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612904,8.035483870967743,4.916129032258065,9.906451612903227,-1.4290322580645163,16.55483870967742,1.2733333333333337,34358
201602,2,5.075862068965518,0.19310344827586204,30.724137931034484,52.051724137931025,3.966666666666667,2.7551724137931037,6.73103448275862,9.555172413793104,5.613793103448275,10.810344827586208,1.1103448275862067,15.355172413793102,1.5655172413793106,20210
201603,3,12.612903225806454,7.0451612903225795,28.225806451612904,51.01612903225805,6.750000000000001,2.4419354838709677,8.183870967741935,8.461290322580645,5.10967741935484,11.983870967741934,9.083870967741936,14.145161290322578,2.6774193548387095,19372
201604,4,20.316666666666666,14.066666666666665,30.533333333333335,54.756666666666646,6.9818181818181815,2.4200000000000004,7.316666666666667,9.056666666666668,5.4399999999999995,13.19,16.99,13.283333333333335,3.2466666666666675,28567
201605,5,25.687096774193545,19.558064516129033,31.225806451612904,56.21935483870967,14.590909090909092,2.3677419354838714,9.035483870967743,9.11935483870968,5.148387096774194,14.21290322580645,23.177419354838708,13.1258064516129,4.216129032258065,25663
201606,6,28.680000000000003,23.596666666666668,41.1,62.86666666666665,4.533333333333334,2.13,7.656666666666667,7.953333333333333,4.896666666666666,14.733333333333336,28.189999999999998,13.63333333333333,4.413333333333332,26647
201607,7,29.82258064516129,26.235483870967744,54.064516129032256,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,7.748387096774193,4.390322580645161,14.467741935483868,28.34193548387097,14.829032258064517,4.322580645161289,32745
201608,8,32.63548387096775,27.99677419354839,41.67741935483871,63.88387096774194,4.19375,2.0580645161290323,7.616129032258065,8.074193548387097,4.635483870967742,13.574193548387097,31.929032258064513,16.00967741935484,5.429032258064518,47091
201609,9,27.88999999999999,23.083333333333332,43.63333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,7.456666666666666,4.25,12.423333333333336,24.85333333333334,17.206666666666667,4.263333333333334,22388
201610,10,21.309677419354838,16.080645161290327,40.45161290322581,62.232258064516124,7.4799999999999995,2.1193548387096772,6.31290322580645,7.65483870967742,4.329032258064517,11.219354838709675,16.996774193548386,18.012903225806454,3.4322580645161302,26965
201611,11,11.606666666666667,6.7733333333333325,37.53333333333333,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,7.696666666666667,4.616666666666666,10.176666666666666,7.239999999999999,18.300000000000008,2.32,24905
201612,12,5.8,1.2451612903225806,40.096774193548384,59.15806451612903,4.364285714285715,2.225806451612903,5.367741935483871,7.458064516129034,4.541935483870968,9.635483870967743,1.5870967741935482,17.919354838709676,1.6129032258064513,20579
201701,1,2.916129032258064,-1.8290322580645162,35.064516129032256,54.606451612903214,1.146153846153846,2.3,6.741935483870967,8.264516129032259,4.84516129032258,9.919354838709678,-0.7387096774193547,16.92903225806451,1.6838709677419357,29396
201702,2,4.80357142857143,-0.2464285714285713,30.285714285714285,53.664285714285704,1.8499999999999999,2.4464285714285707,7.5,8.439285714285715,5.035714285714286,10.821428571428573,0.975,15.682142857142859,2.2535714285714286,28301
201703,3,12.309677419354838,6.325806451612903,25.129032258064516,48.103225806451604,0.9875,2.367741935483872,8.23225806451613,9.087096774193549,5.432258064516129,11.97741935483871,8.112903225806452,14.40322580645161,3.7709677419354835,23068
201704,4,19.949999999999996,13.933333333333335,27.666666666666668,52.373333333333335,6.16,2.55,8.656666666666665,9.916666666666668,5.766666666666665,13.183333333333334,16.869999999999997,13.5,5.526666666666667,26021
