,date,평균 기온(°C),최저 기온(°C),최저 기온 시각(hhmi),최고 기온(°C),최고 기온 시각(hhmi),1시간 최다강수량 시각(hhmi),일강수량(mm),최대 순간풍속(m/s),최대 순간풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다 풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도 시각(hhmi),평균 상대습도(%),평균 중기압(hPa),평균 현지기압(hPa),최고 해면 기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다 일사 시각(hhmi),1시간 최다 일사량(MJ/m2),합계 일사량(MJ/m2),평균 전운량(10분위),평균 중하층운량(10분위),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0cm 지중온도(°C),1.5cm 지중온도(°C),3.0cm 지중온도(°C),5.0cm 지중온도(°C),합계 소형증발량(mm),9-9강수(mm),경복궁,종묘,창경궁,창덕궁,남산골한옥마을,덕수궁,서울시립미술관 본관,국립중앙박물관,서울약령시 한의약박물관,세종대왕기념관,태릉 ·  강릉 · 조선왕릉전시관,서대문자연사박물관,서대문형무소역사관,트릭아이미술관,헌릉ㆍ인릉,선릉·정릉,롯데월드,서울스카이,아쿠아리움
87,201804,12.986666666666666,8.086666666666666,849.5666666666667,18.513333333333335,1277.5,9.379090909090909,11.845454545454546,8.723333333333331,264.6666666666667,1495.8,4.503333333333333,247.66666666666666,1484.7,2.0033333333333334,1726.2333333333333,215.0,2.573333333333333,29.833333333333332,1276.0,54.63,7.9700000000000015,1005.3633333333333,1018.3099999999997,1253.8333333333333,1012.9400000000002,1245.6666666666667,1015.6066666666669,13.169999999999998,7.446666666666667,1206.6666666666667,2.4516666666666667,17.106333333333332,4.6833333333333345,3.3266666666666658,14.523333333333333,3.2366666666666664,13.580000000000004,13.26666666666667,12.816666666666666,12.363333333333332,12.343333333333334,11.206666666666667,10.706666666666667,10.783333333333335,13.22,5.043333333333334,10.858333333333334,341280,21873,81847,133555,137384,110981,104744,152146,1808,507,9612,29995,62860,3349,3398,37187,417187,115019,92824
88,201805,18.167741935483875,13.390322580645163,882.483870967742,23.290322580645167,1280.1612903225807,9.435714285714287,15.857142857142858,8.26774193548387,234.51612903225808,1435.3225806451612,4.206451612903226,243.5483870967742,1396.3548387096773,1.719354838709677,1487.7096774193549,220.32258064516128,10.116129032258065,40.87096774193548,1302.6129032258063,63.435483870967744,13.090322580645163,1001.2516129032261,1014.1451612903226,1118.3870967741937,1008.8741935483872,1440.0645161290322,1011.2354838709678,14.187096774193545,7.470967741935484,1212.9032258064517,2.503225806451613,18.10451612903226,5.448387096774194,3.4677419354838706,21.093548387096774,10.051612903225807,19.72258064516129,19.316129032258058,18.65483870967742,18.064516129032253,17.73225806451613,15.90322580645161,14.729032258064523,12.570967741935481,12.98387096774194,5.141935483870966,17.076923076923077,407217,47178,97549,128136,147457,161723,178227,300711,3984,888,13570,30406,104851,7159,5689,40966,479165,141443,97898
89,201806,23.136666666666663,18.866666666666667,594.0,28.369999999999997,1428.9,6.354166666666667,14.291666666666666,7.603333333333334,245.33333333333334,1408.9666666666667,4.046666666666668,269.3333333333333,1472.4666666666667,1.6799999999999997,1456.6333333333334,226.33333333333334,14.866666666666664,39.53333333333333,1347.9333333333334,63.03333333333331,17.30333333333333,997.8366666666665,1009.8400000000001,972.5333333333333,1005.4633333333334,1259.2666666666667,1007.6033333333331,14.740000000000004,7.886666666666668,1183.3333333333333,2.8003333333333336,20.086333333333325,5.873333333333333,3.0433333333333334,27.880000000000006,15.2,25.36666666666667,24.880000000000006,24.01,23.32,22.78333333333334,20.6,18.756666666666668,14.703333333333338,13.473333333333334,6.086666666666669,17.5,279530,17364,49852,68627,107161,96296,135666,202170,6097,647,8838,28354,58319,5122,4449,33594,342222,110468,85373
90,201807,27.796774193548387,24.212903225806453,729.3225806451613,32.13225806451613,1437.5806451612902,9.014999999999999,18.56,6.774193548387097,212.25806451612902,1490.967741935484,3.3032258064516133,233.2258064516129,1539.3548387096773,1.4612903225806453,1260.8064516129032,199.03225806451613,20.593548387096774,49.29032258064516,1383.3870967741937,67.45161290322578,24.612903225806456,998.8838709677418,1010.2258064516129,870.9032258064516,1006.7870967741934,1436.967741935484,1008.5129032258066,14.477419354838707,7.616666666666668,1206.4516129032259,2.410967741935483,18.099999999999998,5.10967741935484,3.683870967741934,31.33548387096775,21.413333333333334,28.663333333333338,28.106666666666673,27.14999999999999,26.54333333333334,26.093548387096774,23.92903225806451,22.329032258064515,17.880645161290325,14.758064516129032,5.774193548387098,15.174999999999999,200582,9292,22117,33991,59624,62863,137954,295363,4850,226,2282,28941,27219,7564,1437,19380,427204,129314,139511
91,201808,28.761290322580656,25.203225806451616,931.4193548387096,33.30322580645161,1450.741935483871,6.365,12.6625,8.09032258064516,213.5483870967742,1417.6774193548388,4.006451612903225,239.03225806451613,1514.0645161290322,1.6903225806451612,1450.741935483871,186.1290322580645,20.76451612903226,45.16129032258065,1390.6451612903227,64.71935483870966,24.91290322580645,997.3838709677418,1008.9774193548385,1040.258064516129,1004.683870967742,1366.3548387096773,1006.9548387096773,13.590322580645159,7.5,1193.5483870967741,2.451290322580645,16.682580645161288,5.819354838709677,3.7483870967741937,31.80322580645161,22.25483870967742,30.20333333333333,29.86,29.060000000000006,28.689999999999998,28.416129032258063,26.745161290322585,25.067741935483873,19.687096774193552,15.88709677419355,5.648387096774194,12.6625,198930,32713,21776,36869,57435,69297,159112,494328,3642,497,1828,50149,56692,9309,1290,16383,510487,165745,192675
92,201809,21.496666666666666,17.62666666666667,862.7333333333333,26.04,1408.7,5.658333333333334,5.708333333333333,7.5233333333333325,177.0,1429.4,3.450000000000001,188.33333333333334,1368.6666666666667,1.5633333333333332,1347.4333333333334,153.66666666666666,12.896666666666665,38.9,1354.6666666666667,60.66,15.443333333333333,1003.3233333333332,1015.5466666666666,1142.6333333333334,1011.1433333333331,1273.8666666666666,1013.2099999999998,12.440000000000001,7.290000000000001,1196.6666666666667,2.4139999999999993,15.698666666666668,5.113333333333332,2.9699999999999998,23.469999999999995,14.309999999999999,23.089999999999996,23.39,23.40666666666667,23.61666666666666,24.01666666666667,24.273333333333326,24.15333333333334,21.243333333333336,17.30666666666667,4.83,6.2272727272727275,528333,71377,126902,164660,188897,184077,110687,267912,5539,1021,11439,27073,53653,4165,4263,43076,429717,118311,85857
93,201810,13.05483870967742,8.496774193548386,1071.1290322580646,18.612903225806456,1372.5806451612902,4.886363636363637,10.954545454545455,7.6,246.7741935483871,1440.5806451612902,3.829032258064516,245.48387096774192,1489.7096774193549,1.5451612903225809,1329.9032258064517,204.19354838709677,4.570967741935483,34.354838709677416,1236.3548387096773,59.348387096774175,8.883870967741935,1008.6387096774193,1021.7032258064517,1367.3870967741937,1016.1129032258063,1026.0645161290322,1018.9225806451612,11.238709677419353,7.803225806451613,1180.6451612903227,2.148387096774193,13.010967741935485,3.6935483870967736,1.9677419354838708,14.009677419354839,4.096774193548387,14.600000000000001,15.43225806451613,16.10322580645162,16.712903225806453,17.599999999999998,19.558064516129033,20.76129032258065,20.716129032258063,18.245161290322578,3.5193548387096767,9.26923076923077,434708,50839,93826,162503,169039,179495,93147,325753,39688,1170,18878,25472,92872,5014,5457,37953,615488,122479,90453
94,201811,7.793333333333335,3.6266666666666656,840.9333333333333,13.153333333333336,1423.2666666666667,5.7299999999999995,8.78888888888889,6.6133333333333315,254.33333333333334,1440.0666666666666,3.4966666666666675,272.6666666666667,1394.9666666666667,1.3966666666666663,1209.1666666666667,195.33333333333334,-0.9866666666666669,32.733333333333334,1303.9333333333334,57.47999999999999,6.28,1013.1133333333333,1025.8266666666664,1144.0,1021.4966666666664,1250.8,1023.6533333333333,10.183333333333332,5.92,1156.6666666666667,1.6056666666666666,8.845,4.04,2.413333333333333,7.086666666666667,-0.2599999999999998,8.313333333333334,9.123333333333331,9.899999999999997,10.58,11.693333333333335,14.363333333333333,16.403333333333332,18.94333333333333,18.383333333333333,2.3699999999999997,7.909999999999999,290439,64956,70895,129743,108672,141650,92200,194097,4391,553,13426,23078,45849,2345,2901,24745,450865,94243,84577
95,201812,-0.6064516129032259,-4.693548387096774,1035.1612903225807,4.087096774193548,1329.1612903225807,6.195,2.733333333333334,7.451612903225806,261.2903225806452,1248.7096774193549,3.9,284.19354838709677,1496.4516129032259,1.803225806451613,1561.1290322580646,211.93548387096774,-11.645161290322578,26.483870967741936,1321.7096774193549,45.75806451612903,3.125806451612903,1016.8290322580644,1030.5451612903228,1200.0967741935483,1025.1774193548388,1186.9032258064517,1027.7612903225806,9.635483870967743,6.4483870967741925,1180.6451612903227,1.5393548387096774,8.181935483870967,3.770967741935483,2.2516129032258063,1.4325458382260084e-16,-8.793548387096775,0.7645161290322577,1.7129032258064512,2.8419354838709676,3.696774193548387,5.051612903225807,8.509677419354837,11.399999999999999,16.364516129032257,17.63870967741936,1.8225806451612903,1.8222222222222224,201767,45469,20647,38884,70399,129213,97456,258904,3640,174,5635,18664,36304,3615,1237,11815,610215,134116,122238
96,201901,-0.896774193548387,-5.064516129032257,1044.6451612903227,4.087096774193548,1374.8709677419354,2.366,0.0,7.629032258064516,276.1290322580645,1296.9032258064517,4.190322580645161,288.38709677419354,1381.7096774193549,1.8193548387096776,1572.3870967741937,243.5483870967742,-12.048387096774194,25.70967741935484,1393.4193548387098,45.58387096774193,2.6999999999999997,1015.4451612903227,1029.074193548387,1175.6451612903227,1023.9354838709676,1480.1290322580646,1026.383870967742,9.906451612903227,6.935483870967741,1209.6774193548388,1.6403225806451613,9.201612903225806,3.1225806451612894,1.935483870967742,-0.4580645161290321,-11.125806451612904,-0.7258064516129034,-0.40322580645161277,0.11935483870967739,0.7096774193548386,1.8451612903225814,4.777419354838709,7.580645161290322,13.525806451612901,16.470967741935482,2.0419354838709682,0.0,169113,36179,32591,38405,64666,109930,106456,295344,3477,240,1735,30160,35384,5424,1399,11638,494765,99439,118142
