date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 풍속(m/s),최고 해면 기압(hPa),최저 해면기압(hPa),평균 중하층운량(10분위),평균 5cm 지중온도(°C),평균 30cm 지중온도(°C),헌릉ㆍ인릉
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,5.503333333333333,1022.6133333333333,1015.9833333333332,3.0699999999999994,5.416666666666668,8.423333333333332,2561
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,5.558064516129034,1027.9451612903229,1021.4129032258065,2.2,-1.4677419354838712,1.8838709677419354,860
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,5.190322580645162,1028.9290322580646,1023.9129032258064,2.8129032258064512,-1.964516129032258,-0.025806451612903222,813
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,5.703571428571428,1028.5928571428572,1021.9857142857142,2.8142857142857136,-0.039285714285714306,0.08214285714285717,1178
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,6.1,1021.6806451612905,1014.0322580645162,2.061290322580645,5.987096774193548,5.516129032258063,3030
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,6.920000000000002,1016.39,1009.8100000000001,3.373333333333333,11.123333333333335,10.313333333333333,3146
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,5.861290322580645,1014.0677419354838,1009.1064516129032,2.9419354838709677,19.883870967741935,17.90645161290322,5967
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,4.930000000000001,1009.5766666666665,1005.6433333333332,3.339999999999999,27.036666666666676,24.55,4424
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,6.79032258064516,1007.074193548387,1003.3161290322581,6.477419354838709,26.39354838709678,25.419354838709673,1602
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,5.564516129032258,1008.2677419354841,1004.6806451612903,5.112903225806452,28.69677419354839,27.745161290322578,2843
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,4.616666666666666,1016.8166666666667,1013.0966666666667,3.2499999999999996,23.220000000000006,23.86333333333333,3916
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,4.80967741935484,1022.4387096774194,1017.958064516129,1.8064516129032258,16.238709677419354,18.345161290322576,7139
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,5.683333333333334,1023.1800000000001,1016.83,2.7299999999999995,6.683333333333333,10.05,3289
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,5.22258064516129,1024.6967741935487,1019.583870967742,3.1741935483870964,1.1612903225806444,3.9612903225806453,1248
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,4.941935483870967,1028.1806451612906,1022.4935483870969,2.62258064516129,-0.6677419354838707,1.2129032258064514,1401
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,5.171428571428572,1027.55,1022.8285714285715,1.8928571428571423,1.7821428571428568,2.4222222222222225,1460
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,6.441935483870968,1022.9032258064517,1016.8064516129035,2.4193548387096775,8.225806451612904,7.596428571428569,3252
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,6.113333333333333,1019.2233333333332,1014.7466666666664,2.493333333333333,15.77,14.111538461538462,5129
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,6.793548387096774,1013.5064516129031,1007.6451612903223,1.5645161290322582,21.580645161290324,18.98181818181818,6544
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,5.5533333333333355,1007.8166666666668,1004.4266666666666,4.483333333333333,25.196666666666662,23.041379310344826,5537
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,5.587096774193548,1008.974193548387,1004.7290322580644,5.0774193548387085,28.083870967741944,25.303225806451614,1510
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,4.903225806451613,1009.9322580645164,1006.1483870967742,4.606451612903225,26.20967741935484,24.654838709677417,1889
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,4.5,1015.1666666666671,1011.2066666666666,2.8899999999999997,23.750000000000004,23.05333333333333,4583
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,5.038709677419355,1022.2290322580645,1017.3580645161293,2.383870967741936,16.02258064516129,17.354838709677423,7077
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,5.1433333333333335,1024.3500000000001,1019.1466666666666,2.883333333333333,8.596666666666668,10.533333333333335,3662
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,5.741935483870969,1027.903225806452,1021.2451612903228,1.7479999999999998,-1.0580645161290319,2.154838709677419,1036
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,5.1967741935483875,1027.6645161290323,1021.5290322580645,1.8719999999999999,-0.7709677419354839,0.30322580645161296,1362
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,5.653571428571429,1025.225,1019.407142857143,2.0380952380952384,1.0607142857142857,1.3214285714285714,1706
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,6.370967741935482,1024.2516129032256,1018.483870967742,0.9620689655172413,6.493548387096776,5.929032258064516,3014
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,6.523333333333335,1018.9766666666666,1012.8233333333335,2.783333333333333,14.029999999999998,12.190000000000003,4782
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,6.170967741935482,1011.7741935483872,1006.9677419354838,1.9774193548387098,22.0,18.861290322580643,7557
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,5.8,1009.2933333333331,1004.45,3.1066666666666665,26.126666666666665,23.246666666666666,3344
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,5.567741935483871,1008.6741935483873,1004.4290322580645,4.635483870967741,27.32758620689655,25.12068965517241,2991
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,5.348387096774194,1009.9290322580645,1006.5580645161291,3.6290322580645156,26.99032258064516,25.638709677419357,3439
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,4.806666666666667,1016.14,1011.7599999999999,2.233333333333333,23.753333333333334,23.273333333333337,4606
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,5.280645161290322,1021.1741935483874,1015.790322580645,1.8129032258064512,16.0,17.629032258064516,5111
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,5.036666666666667,1026.1066666666666,1020.9033333333334,4.3566666666666665,9.44,11.403333333333334,2927
