date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 풍속 풍향(16방위),평균 20cm 지중온도(°C),0.5m 지중온도(°C),선릉·정릉
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,195.16129032258064,26.282758620689652,25.299999999999997,37864
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,238.06451612903226,26.558064516129033,26.177419354838705,24135
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,190.0,23.95,23.863333333333337,35500
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,252.58064516129033,17.580645161290324,19.016129032258064,36678
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,168.33333333333334,11.066666666666663,12.896666666666667,23381
201512,12,5.996774193548388,1.5935483870967744,38.74193548387097,59.864516129032246,2.6454545454545455,2.3451612903225807,5.73548387096774,173.8709677419355,4.254838709677419,6.283870967741936,14454
201601,1,1.125806451612903,-3.2000000000000006,33.064516129032256,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612904,243.8709677419355,0.732258064516129,2.764516129032258,11788
201602,2,5.075862068965518,0.19310344827586204,30.724137931034484,52.051724137931025,3.966666666666667,2.7551724137931037,6.73103448275862,287.58620689655174,1.1862068965517243,1.8551724137931038,12962
201603,3,12.612903225806454,7.0451612903225795,28.225806451612904,51.01612903225805,6.750000000000001,2.4419354838709677,8.183870967741935,297.0967741935484,7.409677419354838,6.906451612903225,26333
201604,4,20.316666666666666,14.066666666666665,30.533333333333335,54.756666666666646,6.9818181818181815,2.4200000000000004,7.316666666666667,267.6666666666667,14.493333333333336,13.330000000000002,43688
201605,5,25.687096774193545,19.558064516129033,31.225806451612904,56.21935483870967,14.590909090909092,2.3677419354838714,9.035483870967743,253.2258064516129,19.91612903225806,18.674193548387098,41184
201606,6,28.680000000000003,23.596666666666668,41.1,62.86666666666665,4.533333333333334,2.13,7.656666666666667,255.33333333333334,24.446666666666662,23.150000000000002,34058
201607,7,29.82258064516129,26.235483870967744,54.064516129032256,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,195.48387096774192,26.070967741935483,25.229032258064517,23724
201608,8,32.63548387096775,27.99677419354839,41.67741935483871,63.88387096774194,4.19375,2.0580645161290323,7.616129032258065,253.5483870967742,28.361290322580647,27.729032258064517,18732
201609,9,27.88999999999999,23.083333333333332,43.63333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,186.0,23.803333333333338,24.45,35199
201610,10,21.309677419354838,16.080645161290327,40.45161290322581,62.232258064516124,7.4799999999999995,2.1193548387096772,6.31290322580645,194.51612903225808,18.270967741935483,19.929032258064517,39194
201611,11,11.606666666666667,6.7733333333333325,37.53333333333333,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,228.0,10.026666666666669,12.066666666666666,27041
201612,12,5.8,1.2451612903225806,40.096774193548384,59.15806451612903,4.364285714285715,2.225806451612903,5.367741935483871,208.38709677419354,4.32258064516129,6.125806451612902,14507
201701,1,2.916129032258064,-1.8290322580645162,35.064516129032256,54.606451612903214,1.146153846153846,2.3,6.741935483870967,244.19354838709677,1.7129032258064518,3.3612903225806456,13241
201702,2,4.80357142857143,-0.2464285714285713,30.285714285714285,53.664285714285704,1.8499999999999999,2.4464285714285707,7.5,253.92857142857142,1.0607142857142857,1.9892857142857137,14417
201703,3,12.309677419354838,6.325806451612903,25.129032258064516,48.103225806451604,0.9875,2.367741935483872,8.23225806451613,264.19354838709677,6.803225806451613,6.535483870967742,30410
201704,4,19.949999999999996,13.933333333333335,27.666666666666668,52.373333333333335,6.16,2.55,8.656666666666665,232.33333333333334,13.526666666666669,12.750000000000002,45239
201705,5,25.435483870967737,19.490322580645163,30.419354838709676,52.28709677419353,2.3000000000000003,2.4290322580645163,9.725806451612904,255.48387096774192,19.61290322580645,18.80322580645161,37342
201706,6,28.75,23.273333333333333,33.46666666666667,56.60333333333333,5.123076923076923,2.3733333333333335,9.506666666666666,248.0,24.09666666666667,23.206666666666667,32216
201707,7,30.393548387096775,26.922580645161293,59.67741935483871,77.1774193548387,27.0,2.0,3.970967741935484,206.1290322580645,26.4516129032258,26.380645161290325,23263
201708,8,29.654838709677428,25.916129032258066,50.83870967741935,70.81935483870967,15.631578947368421,2.2548387096774194,5.361290322580647,179.3548387096774,26.174193548387095,26.709677419354836,26332
201709,9,27.433333333333326,22.10333333333334,39.1,60.929999999999986,3.888888888888889,1.9800000000000002,8.058620689655173,219.33333333333334,23.09333333333333,23.566666666666666,39542
201710,10,22.530000000000005,16.409677419354836,33.733333333333334,56.25806451612903,3.3125,1.9366666666666663,7.423333333333333,219.33333333333334,18.439999999999994,19.496774193548386,56424
201711,11,10.46,5.626666666666667,32.166666666666664,53.42666666666664,2.9071428571428575,2.076666666666666,6.070370370370371,253.33333333333334,9.713333333333335,11.846666666666668,26891
201712,12,2.1580645161290324,-1.929032258064516,33.16129032258065,55.854838709677416,2.485714285714286,1.7827586206896548,5.680645161290323,284.0,1.9258064516129028,4.393548387096775,11540
201801,1,0.1419354838709677,-3.9774193548387093,28.93548387096774,48.03225806451612,0.7727272727272727,1.8709677419354838,6.43793103448276,287.0967741935484,0.07096774193548391,1.9903225806451612,8040
201802,2,3.2821428571428575,-1.6464285714285718,24.392857142857142,44.914285714285704,4.933333333333334,2.1785714285714284,7.192592592592593,286.42857142857144,-0.6607142857142858,0.5607142857142857,11037
201803,3,13.59677419354839,8.080645161290322,33.67741935483871,59.20645161290322,4.95,1.919354838709678,6.745161290322581,245.16129032258064,6.812903225806452,6.0193548387096785,26183
201804,4,18.513333333333335,12.986666666666666,29.833333333333332,54.63,11.845454545454546,2.0033333333333334,7.446666666666667,247.66666666666666,12.816666666666666,12.343333333333334,37187
201805,5,23.290322580645167,18.167741935483875,40.87096774193548,63.435483870967744,15.857142857142858,1.719354838709677,7.470967741935484,243.5483870967742,18.65483870967742,17.73225806451613,40966
201806,6,28.369999999999997,23.136666666666663,39.53333333333333,63.03333333333331,14.291666666666666,1.6799999999999997,7.886666666666668,269.3333333333333,24.01,22.78333333333334,33594
201807,7,32.13225806451613,27.796774193548387,49.29032258064516,67.45161290322578,18.56,1.4612903225806453,7.616666666666668,233.2258064516129,27.14999999999999,26.093548387096774,19380
201808,8,33.30322580645161,28.761290322580656,45.16129032258065,64.71935483870966,12.6625,1.6903225806451612,7.5,239.03225806451613,29.060000000000006,28.416129032258063,16383
201809,9,26.04,21.496666666666666,38.9,60.66,5.708333333333333,1.5633333333333332,7.290000000000001,188.33333333333334,23.40666666666667,24.01666666666667,43076
201810,10,18.612903225806456,13.05483870967742,34.354838709677416,59.348387096774175,10.954545454545455,1.5451612903225809,7.803225806451613,245.48387096774192,16.10322580645162,17.599999999999998,37953
201811,11,13.153333333333336,7.793333333333335,32.733333333333334,57.47999999999999,8.78888888888889,1.3966666666666663,5.92,272.6666666666667,9.899999999999997,11.693333333333335,24745
201812,12,4.087096774193548,-0.6064516129032259,26.483870967741936,45.75806451612903,2.733333333333334,1.803225806451613,6.4483870967741925,284.19354838709677,2.8419354838709676,5.051612903225807,11815
201901,1,4.087096774193548,-0.896774193548387,25.70967741935484,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,288.38709677419354,0.11935483870967739,1.8451612903225814,11638
201902,2,6.046428571428572,0.9857142857142855,26.0,47.31071428571427,2.644444444444444,1.8428571428571427,6.803571428571429,265.0,1.5285714285714287,1.8964285714285718,14158
201903,3,12.445161290322583,7.093548387096774,25.838709677419356,51.303225806451614,2.68,2.087096774193548,6.574193548387096,270.64516129032256,7.041935483870967,6.877419354838709,23425
201904,4,17.639999999999997,12.120000000000001,27.366666666666667,50.943333333333335,3.6384615384615375,1.8766666666666665,7.386666666666667,232.0,11.833333333333336,11.173333333333336,40744
201905,5,25.641935483870967,19.419354838709676,24.774193548387096,46.48709677419355,5.3999999999999995,2.0580645161290323,10.129032258064516,253.8709677419355,19.219354838709677,17.77741935483871,46550
201906,6,27.706666666666663,22.503333333333334,38.63333333333333,60.60666666666666,5.2857142857142865,1.7366666666666668,7.836666666666667,246.0,23.15333333333334,22.05,39198
201907,7,30.087096774193547,25.877419354838707,50.03225806451613,69.09354838709676,10.231578947368419,1.8290322580645166,4.841935483870966,215.48387096774192,25.793548387096767,25.016129032258064,22426
201908,8,31.635483870967736,27.190322580645162,44.645161290322584,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,239.3548387096774,27.21935483870968,26.84193548387097,29629
201909,9,27.100000000000005,22.64333333333333,44.13333333333333,65.27,10.753846153846155,2.183333333333333,5.63,245.33333333333334,23.59000000000001,24.08,32549
201910,10,21.767741935483876,16.370967741935484,38.935483870967744,62.16451612903224,7.92857142857143,2.129032258064516,7.629032258064515,233.2258064516129,18.445161290322577,19.66666666666667,56195
201911,11,12.933333333333334,7.579999999999999,33.13333333333333,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,238.33333333333334,10.590000000000002,12.273333333333335,30117
201912,12,5.274193548387096,1.4161290322580642,37.12903225806452,57.754838709677415,1.1894736842105265,2.125806451612903,5.296774193548389,222.90322580645162,4.145161290322582,5.819354838709678,13513
