date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),최대 풍속(m/s),평균 상대습도 시각(hhmi),합계 일사량(MJ/m2),창덕궁
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,232.58064516129033,6.79032258064516,1293.032258064516,8.660645161290322,48657
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,241.61290322580646,5.564516129032258,1324.1612903225807,13.566774193548385,68571
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,188.0,4.616666666666666,1310.5333333333333,12.294000000000002,97864
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,166.1290322580645,4.80967741935484,1385.741935483871,12.02548387096774,144549
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,229.33333333333334,5.683333333333334,1330.5,7.798000000000001,107904
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,245.48387096774192,5.22258064516129,1309.225806451613,6.5296774193548375,38553
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,258.06451612903226,4.941935483870967,1372.8387096774193,7.268064516129034,48482
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,182.5,5.171428571428572,1366.8214285714287,9.585714285714287,44756
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,217.74193548387098,6.441935483870968,1378.3870967741937,12.646774193548385,63221
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,227.66666666666666,6.113333333333333,1306.5666666666666,15.166666666666666,145834
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,238.06451612903226,6.793548387096774,1411.8709677419354,20.252258064516134,143694
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,216.66666666666666,5.5533333333333355,1354.6666666666667,15.513666666666664,76779
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,219.3548387096774,5.587096774193548,1450.6129032258063,14.800999999999998,62361
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,147.41935483870967,4.903225806451613,1368.1290322580646,11.386451612903224,91108
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,163.33333333333334,4.5,1326.7,12.951999999999996,119260
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,197.74193548387098,5.038709677419355,1448.9032258064517,11.68741935483871,182385
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,223.0,5.1433333333333335,1362.1,8.342,136085
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,226.4516129032258,5.741935483870969,1312.1612903225807,7.409032258064516,41561
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,220.6451612903226,5.1967741935483875,1337.7096774193549,7.904838709677418,49390
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,232.5,5.653571428571429,1298.5714285714287,9.537142857142857,58745
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,250.96774193548387,6.370967741935482,1240.4516129032259,14.794193548387097,63273
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,188.33333333333334,6.523333333333335,1253.1666666666667,14.994666666666665,140398
