date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최대 순간풍속 풍향(16방위),평균 중기압(hPa),최저 해면기압(hPa),국립중앙박물관
201211,11,9.516666666666664,5.540000000000001,36.833333333333336,57.239999999999995,4.52,2.72,6.036666666666667,182.0,228.33333333333334,5.336666666666667,1015.9833333333332,231618
201212,12,-0.5193548387096775,-4.119354838709678,38.67741935483871,57.029032258064504,3.1846153846153844,2.7258064516129035,6.245161290322581,183.2258064516129,238.38709677419354,2.8290322580645166,1021.4129032258065,227077
201301,1,0.3354838709677418,-3.4322580645161285,38.54838709677419,57.0774193548387,2.21,2.6709677419354834,5.409677419354837,198.06451612903226,215.48387096774192,3.0451612903225795,1023.9129032258064,233169
201302,2,2.775,-1.2392857142857143,30.285714285714285,53.628571428571426,5.700000000000001,2.882142857142857,6.685714285714284,220.35714285714286,241.07142857142858,3.207142857142857,1021.9857142857142,192802
201303,3,10.835483870967739,5.135483870967743,25.258064516129032,49.174193548387095,3.4125,3.0322580645161286,8.267741935483869,226.7741935483871,250.0,4.345161290322581,1014.0322580645162,196436
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,198.66666666666666,235.66666666666666,6.516666666666667,1009.8100000000001,226614
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,225.48387096774192,211.93548387096774,11.62258064516129,1009.1064516129032,296370
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,213.0,243.0,17.813333333333333,1005.6433333333332,183498
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,220.6451612903226,232.58064516129033,25.574193548387107,1003.3161290322581,238909
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,199.3548387096774,241.61290322580646,25.44516129032258,1004.6806451612903,365305
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,154.66666666666666,188.0,16.186666666666664,1013.0966666666667,226526
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,128.06451612903226,166.1290322580645,10.638709677419353,1017.958064516129,265316
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,180.66666666666666,229.33333333333334,5.8933333333333335,1016.83,192502
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,180.6451612903226,245.48387096774192,3.835483870967741,1019.583870967742,286992
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,200.0,258.06451612903226,3.058064516129033,1022.4935483870969,333749
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,161.53846153846155,182.5,3.7714285714285714,1022.8285714285715,243843
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,229.67741935483872,217.74193548387098,6.738709677419355,1016.8064516129035,172398
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,197.33333333333334,227.66666666666666,9.229999999999999,1014.7466666666664,196802
