date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최저 초상온도(°C),합계 소형증발량(mm),9-9강수(mm),남산골한옥마을
201304,4,14.98,10.006666666666666,28.366666666666667,53.97666666666667,4.78,3.4266666666666663,7.106666666666666,198.66666666666666,2.806666666666666,3.7033333333333336,3.9833333333333334,167888
201305,5,23.587096774193547,18.222580645161287,35.87096774193548,57.78387096774193,12.0,2.9,7.6806451612903235,225.48387096774192,10.516129032258062,4.612903225806452,11.0,168253
201306,6,29.236666666666668,24.410000000000007,39.7,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,213.0,17.256666666666668,5.343333333333332,2.8299999999999996,148428
201307,7,28.33548387096775,25.519354838709678,63.54838709677419,79.25483870967743,26.00769230769231,3.351612903225807,3.2580645161290316,220.6451612903226,22.445161290322584,2.8096774193548386,29.400000000000002,136642
201308,8,31.08709677419354,27.69677419354839,48.935483870967744,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,199.3548387096774,22.54193548387097,4.380645161290324,8.255555555555555,160728
201309,9,25.943333333333335,21.75333333333333,42.96666666666667,62.88666666666666,11.541666666666666,2.236666666666667,6.366666666666668,154.66666666666666,14.816666666666666,3.643333333333332,11.541666666666666,219029
201310,10,21.23548387096774,15.777419354838708,36.193548387096776,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,128.06451612903226,6.625806451612903,3.0999999999999996,1.6875,183079
201311,11,10.660000000000004,6.149999999999998,37.1,58.186666666666675,2.7529411764705887,2.7366666666666672,6.266666666666666,180.66666666666666,-1.49,1.9999999999999998,3.12,126488
201312,12,3.5258064516129033,-0.18387096774193573,39.67741935483871,60.151612903225804,1.9000000000000001,2.3935483870967738,5.9483870967741925,180.6451612903226,-7.080645161290324,1.3483870967741935,2.0583333333333336,146828
201401,1,3.541935483870968,-0.6774193548387096,29.483870967741936,50.07741935483869,1.1818181818181819,2.4258064516129036,5.948387096774193,200.0,-8.109677419354838,1.4806451612903222,1.1818181818181819,46672
201402,2,6.6035714285714295,1.9285714285714288,32.75,51.982142857142854,2.314285714285714,2.696428571428572,5.853571428571429,161.53846153846155,-4.821428571428572,1.9464285714285712,2.6999999999999997,50651
201403,3,13.058064516129033,7.890322580645161,33.03225806451613,59.835483870967735,0.5538461538461539,3.029032258064516,6.925806451612903,229.67741935483872,0.2290322580645156,3.0741935483870964,0.6,172551
201404,4,19.63666666666666,13.963333333333336,36.03333333333333,59.87333333333333,4.428571428571429,2.823333333333333,7.106666666666668,197.33333333333334,5.69,3.3099999999999996,3.875,126086
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,234.83870967741936,10.254838709677419,4.693548387096774,9.0,132166
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,187.33333333333334,17.39,3.746666666666667,7.546153846153847,110841
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,204.83870967741936,20.74838709677419,3.693548387096774,15.992307692307692,116019
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,117.41935483870968,20.045161290322575,2.7935483870967746,8.639999999999999,135272
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,130.33333333333334,13.910000000000004,2.9733333333333323,8.809999999999999,149147
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,106.7741935483871,5.574193548387098,2.580645161290323,5.800000000000001,143155
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,155.66666666666666,-0.7733333333333335,1.4599999999999997,3.7818181818181817,99744
