"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","*","다가구","8m미만","293.52","149.5","201511","5","54,000","1993","도봉로18다길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","345.28","152.4","201501","14","64,500","1993","도봉로34길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","257.4","154","201512","22","76,400","2003","솔샘로64다길",""
"서울특별시 강북구 미아동","1***","다가구","8m미만","206.28","155","201508","1","46,900","1990","숭인로5길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","264.96","155","201507","8","68,200","2000","솔샘로64나길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","337.45","163","201503","4","105,000","2000","삼양로54길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","378.48","165","201512","4","80,000","1995","솔매로40길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","280.15","172","201507","4","78,000","1992","덕릉로30길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","297.78","172","201508","14","55,000","1987","삼양로41길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","298.23","174.9","201506","9","70,000","1997","삼양로54다길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","447.61","185","201509","16","64,000","1990","솔매로",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","218.55","191.1","201508","5","82,000","1973","솔매로40길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","248.91","192","201512","1","75,200","1989","솔샘로64길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","460.44","199","201502","11","80,000","2007","솔매로9길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","348.12","202","201510","1","94,000","1995","삼양로38다길",""
"서울특별시 강북구 미아동","5*","다가구","8m미만","388.4","219","201504","3","112,000","1996","도봉로8길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","418.61","225","201510","19","90,000","1996","삼양로38다길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","388.24","241","201511","25","62,000","1986","삼양로41길",""
"서울특별시 강북구 미아동","1**","다가구","12m미만","599.73","313.4","201505","15","158,000","1995","도봉로50길",""
"서울특별시 강북구 미아동","3**","다가구","8m미만","799.84","387.8","201504","7","170,000","1984","도봉로35길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","14.66","17","201502","2","15,000","1985","삼양로60가길",""
"서울특별시 강북구 미아동","4**","단독","8m미만","29.75","23","201511","16","13,000","1950","솔샘로64가길",""
"서울특별시 강북구 미아동","1***","단독","12m미만","36.07","23","201506","4","20,000","1985","삼양로24길",""
"서울특별시 강북구 미아동","1**","단독","8m미만","29.88","28.1","201501","10","8,850","1967","도봉로24길",""
"서울특별시 강북구 미아동","8**","단독","8m미만","32.55","29","201506","2","18,000","1985","null",""
"서울특별시 강북구 미아동","7**","단독","8m미만","29.75","30","201510","18","4,100","1950","삼양로63길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","30.54","30","201512","16","16,000","1984","삼양로60가길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","34.66","33","201501","21","15,000","1985","솔매로31길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","20.25","39.6","201505","8","11,622","1985","null",""
"서울특별시 강북구 미아동","7**","단독","8m미만","27","40","201503","2","9,000","1969","삼양로46길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","46.28","40","201512","4","14,000","1950","삼양로58길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","32.14","43","201505","8","6,000","1985","삼양로64길",""
"서울특별시 강북구 미아동","7**","단독","8m미만","32.48","43","201504","27","12,400","1985","삼양로60가길",""
"서울특별시 강북구 미아동","7**","단독","12m미만","42.9","43","201509","12","15,000","1950","삼양로58길",""
"서울특별시 강북구 미아동","8**","단독","8m미만","44.48","45","201506","3","15,000","1985","null",""
"서울특별시 강북구 미아동","7**","단독","8m미만","34.18","46","201503","9","10,000","1985","삼양로63가길",""
"서울특별시 강북구 미아동","1***","단독","8m미만","36.61","46","201507","10","17,300","1985","삼양로",""
"서울특별시 강북구 미아동","1***","단독","8m미만","22.32","50","201505","5","17,000","1985","삼양로16길",""
